AltitudeVariation,AltitudeVariation_entropy,AltitudeVariation_complexity,AltitudeVariation_fisher,VehicleSpeedInstantaneous,VehicleSpeedInstantaneous_entropy,VehicleSpeedInstantaneous_complexity,VehicleSpeedInstantaneous_fisher,VehicleSpeedAverage,VehicleSpeedAverage_entropy,VehicleSpeedAverage_complexity,VehicleSpeedAverage_fisher,VehicleSpeedVariance,VehicleSpeedVariance_entropy,VehicleSpeedVariance_complexity,VehicleSpeedVariance_fisher,VehicleSpeedVariation,VehicleSpeedVariation_entropy,VehicleSpeedVariation_complexity,VehicleSpeedVariation_fisher,LongitudinalAcceleration,LongitudinalAcceleration_entropy,LongitudinalAcceleration_complexity,LongitudinalAcceleration_fisher,EngineLoad,EngineLoad_entropy,EngineLoad_complexity,EngineLoad_fisher,ManifoldAbsolutePressure,ManifoldAbsolutePressure_entropy,ManifoldAbsolutePressure_complexity,ManifoldAbsolutePressure_fisher,EngineRPM,EngineRPM_entropy,EngineRPM_complexity,EngineRPM_fisher,MassAirFlow,MassAirFlow_entropy,MassAirFlow_complexity,MassAirFlow_fisher,IntakeAirTemperature,IntakeAirTemperature_entropy,IntakeAirTemperature_complexity,IntakeAirTemperature_fisher,VerticalAcceleration,VerticalAcceleration_entropy,VerticalAcceleration_complexity,VerticalAcceleration_fisher,FuelConsumptionAverage,FuelConsumptionAverage_entropy,FuelConsumptionAverage_complexity,FuelConsumptionAverage_fisher,drivingStyle
-5.20001219,0.5960899506359386,0.3079270805079883,0.5960899506359386,115.517334,0.4888986334300374,0.2950249644798376,0.4888986334300374,114.8493023,0.2748075905505028,0.2258214297428525,0.2748075905505028,15.60364952,0.3728675128420325,0.2761725251016469,0.3728675128420325,0.225174,0.7843827969958114,0.1973541818426343,0.7843827969958114,0.652,0.6441148580391085,0.2956190217555621,0.6441148580391085,41.17647171,0.8986920453740178,0.1478455106691664,0.8986920453740178,152.0,0.7126019569344445,0.2699494346514103,0.7126019569344445,2340.0,0.7793328139697572,0.2344813485368794,0.7793328139697572,29.54000092,0.912249057562253,0.1188275274870242,0.912249057562253,18.0,0.5803561226982386,0.3083931607631769,0.5803561226982386,-0.2695,0.7180349579479897,0.2692438346426165,0.7180349579479897,9.279604912,0.3551021135822664,0.2552243132811325,0.3551021135822664,EvenPaceStyle
-5.49999999,0.5965328860683903,0.3077883301718283,0.5965328860683903,116.6432419,0.4893269763510117,0.2949878163299209,0.4893269763510117,114.7704894,0.2748684531869529,0.2258703313006573,0.2748684531869529,14.9307635,0.3728675128420325,0.2761725251016469,0.3728675128420325,1.1259079,0.7850096818068262,0.1973504007069596,0.7850096818068262,0.73,0.6434851852122526,0.2959889831203477,0.6434851852122526,24.31372643,0.8987903099893735,0.1477344245825168,0.8987903099893735,126.0,0.7128911330287352,0.2697921868595593,0.7128911330287352,2342.0,0.7784624770162903,0.2347738400458754,0.7784624770162903,20.36000061,0.912249057562253,0.1188275274870242,0.912249057562253,18.0,0.5797480267047738,0.3081475246399917,0.5797480267047738,-0.2421,0.7185098532137079,0.2686437365809704,0.7185098532137079,9.234663963,0.3541726791905442,0.2547424483863951,0.3541726791905442,EvenPaceStyle
-5.60003661,0.5969171138390621,0.307433513943404,0.5969171138390621,116.8684235,0.4881264460986237,0.294630006172685,0.4881264460986237,114.6879234,0.2749274587010512,0.2259177406940971,0.2749274587010512,14.15556243,0.3728675128420325,0.2761725251016469,0.3728675128420325,0.2251816,0.7850096818068262,0.1973504007069596,0.7850096818068262,0.773,0.6435369541620956,0.296008722021747,0.6435369541620956,28.62745094,0.8986013778789713,0.1479712276951472,0.8986013778789713,126.0,0.7140716046334159,0.2695170574280761,0.7140716046334159,2347.0,0.7777783957269249,0.2348899407694693,0.7777783957269249,17.54999924,0.9123891406087742,0.1186535990466425,0.9123891406087742,16.0,0.5789397546451736,0.3085621945165456,0.5789397546451736,-0.2617,0.7185516716448731,0.2686097578547223,0.7185516716448731,9.180957794,0.3541726791905442,0.2547424483863951,0.3541726791905442,EvenPaceStyle
-5.69995119,0.5964887709180877,0.3075732756811575,0.5964887709180877,117.0935974,0.4873231416622878,0.2942608243355408,0.4873231416622878,114.6016045,0.2749846082835809,0.2259636588811839,0.2749846082835809,13.27100029,0.3728675128420325,0.2761725251016469,0.3728675128420325,0.2251739,0.7853018447902578,0.1970055647229644,0.7853018447902578,0.781,0.6435852554900983,0.2960271406144649,0.6435852554900983,28.23529434,0.8986013778789713,0.1479712276951472,0.8986013778789713,124.0,0.7143574975735352,0.2695895984185321,0.7143574975735352,2341.0,0.7782152059617166,0.2348878865238121,0.7782152059617166,19.12000084,0.9124798081038208,0.1185225851878548,0.9124798081038208,17.0,0.5782490747810927,0.3088114949325296,0.5782490747810927,-0.3242,0.7188321020549221,0.2682838756971059,0.7188321020549221,9.136158943,0.3541726791905442,0.2547424483863951,0.3541726791905442,EvenPaceStyle
-5.80004881,0.5951871307833488,0.3078822442372491,0.5951871307833488,116.8684235,0.488140343189436,0.2946330210489528,0.488140343189436,114.5002736,0.2750399030866581,0.2260080867888363,0.2750399030866581,12.16685659,0.3728675128420325,0.2761725251016469,0.3728675128420325,-0.2251739,0.784655325710128,0.197873119657869,0.784655325710128,0.828,0.6436300925974195,0.2960442398076172,0.6436300925974195,31.76470566,0.8984487314544674,0.1483187706236576,0.8984487314544674,126.0,0.7157868050418668,0.268938320142845,0.7157868050418668,2335.0,0.7788700533758259,0.2347891282525784,0.7788700533758259,19.29999924,0.9122985064945234,0.1188285147692298,0.9122985064945234,17.0,0.5784350449502609,0.308721441091341,0.5784350449502609,-0.2968,0.7185516716448731,0.2686097578547218,0.7185516716448731,9.093142509,0.3541726791905442,0.2547424483863951,0.3541726791905442,EvenPaceStyle
-6.0999756,0.5942086982241902,0.3078725640428228,0.5942086982241902,116.6432419,0.489340873441824,0.2949908075731665,0.489340873441824,114.4026958,0.2750933442238724,0.2260510253129922,0.2750933442238724,11.15090486,0.3728675128420325,0.2761725251016469,0.3728675128420325,-0.2251816,0.7837807094958784,0.1988299848367024,0.7837807094958784,0.797,0.6442391697149541,0.2961879457840874,0.6442391697149541,35.29411697,0.8984487314544674,0.1483187706236576,0.8984487314544674,130.0,0.7166414717671593,0.2689450583039001,0.7166414717671593,2336.0,0.779737689100377,0.2344958084381454,0.779737689100377,19.87999916,0.9124582169325388,0.1186130411494956,0.9124582169325388,17.0,0.5782938926753817,0.3086967101073611,0.5782938926753817,-0.3437,0.7192513155826581,0.2685711320415855,0.7192513155826581,9.067367554,0.3541726791905442,0.2547424483863951,0.3541726791905442,EvenPaceStyle
-6.20001221,0.592498095802865,0.30873068758213,0.592498095802865,116.4180527,0.4902379256321063,0.2953739126112592,0.4902379256321063,114.3088708,0.2751449327704237,0.2260924753187172,0.2751449327704237,10.22022044,0.3728675128420325,0.2761725251016469,0.3728675128420325,-0.2251892,0.783280594965564,0.199158576913414,0.783280594965564,0.766,0.6456422192745387,0.2957608558757235,0.6456422192745387,35.29411697,0.8984487314544674,0.1483187706236576,0.8984487314544674,133.0,0.7172993877955295,0.2690231744333031,0.7172993877955295,2330.0,0.7805537492862693,0.2342544449295814,0.7805537492862693,21.93000031,0.9124582169325388,0.1186130411494956,0.9124582169325388,17.0,0.5782938926753817,0.3086967101073611,0.5782938926753817,-0.3984,0.7195527719158334,0.2684839337443672,0.7195527719158334,9.046261787,0.3530558584660613,0.2542403636112458,0.3530558584660613,EvenPaceStyle
-6.10003661,0.591219057938856,0.309718996449506,0.591219057938856,116.1928711,0.4905333664517523,0.2955364249703588,0.4905333664517523,114.2225517,0.2751946697632529,0.2261324376403057,0.2751946697632529,9.427243578,0.3728675128420325,0.2761725251016469,0.3728675128420325,-0.2251816,0.7830268342083663,0.1993606941121995,0.7830268342083663,0.809,0.6468670718599461,0.2945342192465038,0.6468670718599461,23.52941132,0.8990855840006927,0.1479547613064106,0.8990855840006927,125.0,0.7184724547087662,0.268737367447294,0.7184724547087662,2330.0,0.7816474876852133,0.23362728452237,0.7816474876852133,21.14999962,0.912920058151918,0.1182591209281527,0.912920058151918,17.0,0.5782938926753817,0.3086967101073611,0.5782938926753817,-0.4023,0.7190222278897294,0.2688511286015839,0.7190222278897294,9.01844883,0.3518639169165694,0.2537381514284902,0.3518639169165694,EvenPaceStyle
-6.09997558,0.5906619898645925,0.3104380747606821,0.5906619898645925,115.7425156,0.4908255425868732,0.2956971745950013,0.4908255425868732,114.1324796,0.2752425562011689,0.2261709130813858,0.2752425562011689,8.645509701,0.3728675128420325,0.2761725251016469,0.3728675128420325,-0.4503555,0.7834508784972947,0.1990520235340827,0.7834508784972947,0.773,0.6470986532061138,0.2943085240976641,0.6470986532061138,38.4313736,0.8990855840006927,0.1479547613064106,0.8990855840006927,128.0,0.7195991292873694,0.2672267313502581,0.7195991292873694,2315.0,0.7817810810291101,0.2335792791576854,0.7817810810291101,17.40999985,0.9134644622529436,0.1177762474561232,0.9134644622529436,17.0,0.5782938926753817,0.3086967101073611,0.5782938926753817,-0.5312,0.7173450024211109,0.2703320032925107,0.7173450024211109,8.979017258,0.3509919574763661,0.2532639562135009,0.3509919574763661,EvenPaceStyle
-6.40002442,0.5906619898645925,0.3104380747606821,0.5906619898645925,115.7425156,0.4916529823839062,0.2960677692362513,0.4916529823839062,114.0424075,0.2752885930449695,0.2262079024150122,0.2752885930449695,7.847274833,0.3718368455623295,0.2756275883208096,0.3718368455623295,0.0,0.7838421702814781,0.1985473521327832,0.7838421702814781,0.824,0.6463687448282583,0.295339322399289,0.6463687448282583,39.60784531,0.8990490223691469,0.1479991078892309,0.8990490223691469,141.0,0.7197719695909612,0.2670052633435515,0.7197719695909612,2323.0,0.7815061821248899,0.23368795421135,0.7815061821248899,24.10000038,0.9140941350797996,0.116921367894698,0.9140941350797996,17.0,0.5773133685718445,0.3084328151604081,0.5773133685718445,-0.5273,0.7164703862068613,0.2710787119381996,0.7164703862068613,8.962133408,0.350056899216624,0.2527734354955622,0.350056899216624,EvenPaceStyle
