AltitudeVariation,AltitudeVariation_entropy,AltitudeVariation_complexity,AltitudeVariation_fisher,VehicleSpeedInstantaneous,VehicleSpeedInstantaneous_entropy,VehicleSpeedInstantaneous_complexity,VehicleSpeedInstantaneous_fisher,VehicleSpeedAverage,VehicleSpeedAverage_entropy,VehicleSpeedAverage_complexity,VehicleSpeedAverage_fisher,VehicleSpeedVariance,VehicleSpeedVariance_entropy,VehicleSpeedVariance_complexity,VehicleSpeedVariance_fisher,VehicleSpeedVariation,VehicleSpeedVariation_entropy,VehicleSpeedVariation_complexity,VehicleSpeedVariation_fisher,LongitudinalAcceleration,LongitudinalAcceleration_entropy,LongitudinalAcceleration_complexity,LongitudinalAcceleration_fisher,EngineLoad,EngineLoad_entropy,EngineLoad_complexity,EngineLoad_fisher,ManifoldAbsolutePressure,ManifoldAbsolutePressure_entropy,ManifoldAbsolutePressure_complexity,ManifoldAbsolutePressure_fisher,EngineRPM,EngineRPM_entropy,EngineRPM_complexity,EngineRPM_fisher,MassAirFlow,MassAirFlow_entropy,MassAirFlow_complexity,MassAirFlow_fisher,IntakeAirTemperature,IntakeAirTemperature_entropy,IntakeAirTemperature_complexity,IntakeAirTemperature_fisher,VerticalAcceleration,VerticalAcceleration_entropy,VerticalAcceleration_complexity,VerticalAcceleration_fisher,FuelConsumptionAverage,FuelConsumptionAverage_entropy,FuelConsumptionAverage_complexity,FuelConsumptionAverage_fisher
-5.20001219,0.6462416772432553,0.2450497771973932,0.6462416772432553,115.517334,0.5392743973428629,0.2618525251061311,0.5392743973428629,114.8493023,0.3388938820293613,0.246928726221429,0.3388938820293613,15.60364952,0.4361603802821163,0.2700418546910698,0.4361603802821163,0.225174,0.831850685635086,0.1393150579711834,0.831850685635086,0.652,0.7112375464984184,0.2208910075054742,0.7112375464984184,41.17647171,0.91318090074618,0.0955223398903053,0.91318090074618,152.0,0.7531955562898622,0.1988120616920828,0.7531955562898622,2340.0,0.8302737163595991,0.1539505468851738,0.8302737163595991,29.54000092,0.9378877854087484,0.0676507843531417,0.9378877854087484,18.0,0.6124664100526503,0.2485479224643293,0.6124664100526503,-0.2695,0.7757753036966218,0.19098840001513,0.7757753036966218,9.279604912,0.4279890540365516,0.2597340797503013,0.4279890540365516
-5.49999999,0.6475279290891534,0.2448095827402226,0.6475279290891534,116.6432419,0.5389076328819061,0.2617318825697871,0.5389076328819061,114.7704894,0.3389759517750064,0.2469824767535876,0.3389759517750064,14.9307635,0.4361603802821163,0.2700418546910698,0.4361603802821163,1.1259079,0.831850685635086,0.1393150579711834,0.831850685635086,0.73,0.7098635214646071,0.2215798984156192,0.7098635214646071,24.31372643,0.9134080571625112,0.0953070613850591,0.9134080571625112,126.0,0.7537217924979259,0.1982955761037013,0.7537217924979259,2342.0,0.8295593641739425,0.1542822818428539,0.8295593641739425,20.36000061,0.9379716378242304,0.0675561479686545,0.9379716378242304,18.0,0.6116699275058527,0.2484528635846974,0.6116699275058527,-0.2421,0.7754376076669266,0.1913723086719269,0.7754376076669266,9.234663963,0.4266527890276834,0.25952250189352,0.4266527890276834
-5.60003661,0.6476456776601212,0.2447395481077645,0.6476456776601212,116.8684235,0.5374166473890102,0.2617156912801187,0.5374166473890102,114.6879234,0.339055359396195,0.2470344828828549,0.339055359396195,14.15556243,0.4361603802821163,0.2700418546910698,0.4361603802821163,0.2251816,0.8328475691584707,0.1388311050966476,0.8328475691584707,0.773,0.7099338885337314,0.2215856514054374,0.7099338885337314,28.62745094,0.9132843487398404,0.0954562451378408,0.9132843487398404,126.0,0.7539977707615584,0.1982902253656049,0.7539977707615584,2347.0,0.8285448285038021,0.1549221068922593,0.8285448285038021,17.54999924,0.9377620105394996,0.067793745703773,0.9377620105394996,16.0,0.6107518016450281,0.2490285128336084,0.6107518016450281,-0.2617,0.7758703376354297,0.1909578398689876,0.7758703376354297,9.180957794,0.4266527890276834,0.25952250189352,0.4266527890276834
-5.69995119,0.6461963615492242,0.2453574656690933,0.6461963615492242,117.0935974,0.5362543411344862,0.2615683816464113,0.5362543411344862,114.6016045,0.3391321063491629,0.2470847456499018,0.3391321063491629,13.27100029,0.4361603802821163,0.2700418546910698,0.4361603802821163,0.2251739,0.8328300103331995,0.1388490688244927,0.8328300103331995,0.781,0.7100001001474753,0.2215910678709798,0.7100001001474753,28.23529434,0.9138705216662047,0.0945812838263758,0.9138705216662047,124.0,0.7549951951032465,0.197977476283328,0.7549951951032465,2341.0,0.8292618244014079,0.154591269535457,0.8292618244014079,19.12000084,0.93761178192649,0.0679701784451296,0.93761178192649,17.0,0.6107518016450281,0.2490285128336093,0.6107518016450281,-0.3242,0.7760751476890774,0.1907743214721333,0.7760751476890774,9.136158943,0.4266527890276834,0.25952250189352,0.4266527890276834
-5.80004881,0.6453089802612217,0.2455144985967474,0.6453089802612217,116.8684235,0.5374693802184796,0.2617008539837557,0.5374693802184796,114.5002736,0.3392061940400915,0.2471332660596321,0.3392061940400915,12.16685659,0.4361603802821163,0.2700418546910698,0.4361603802821163,-0.2251739,0.8323118451291931,0.1392835420430415,0.8323118451291931,0.828,0.7100621592664109,0.2215961474653483,0.7100621592664109,31.76470566,0.913474022912758,0.0952191375227127,0.913474022912758,126.0,0.7562093688666278,0.1974601268052265,0.7562093688666278,2335.0,0.8300338190563907,0.1542085436860793,0.8300338190563907,19.29999924,0.9377620105394996,0.067793745703773,0.9377620105394996,17.0,0.6101303392981727,0.2493115140252644,0.6101303392981727,-0.2968,0.7755047991346266,0.1913241568728919,0.7755047991346266,9.093142509,0.4266527890276834,0.25952250189352,0.4266527890276834
-6.0999756,0.6444374243493414,0.2456596534117497,0.6444374243493414,116.6432419,0.5389265743766647,0.261733758672575,0.5389265743766647,114.4026958,0.339277623825263,0.2471800450812921,0.339277623825263,11.15090486,0.4361603802821163,0.2700418546910698,0.4361603802821163,-0.2251816,0.8317134911997659,0.1398086439599603,0.8317134911997659,0.797,0.7109567190694382,0.2214041367943948,0.7109567190694382,35.29411697,0.9132267062705144,0.0955186377276556,0.9132267062705144,130.0,0.7571104890703787,0.1972140624656829,0.7571104890703787,2336.0,0.830745511507406,0.1538767998804538,0.830745511507406,19.87999916,0.937086820361672,0.0684826023861137,0.937086820361672,17.0,0.6089866405550985,0.2493057627008885,0.6089866405550985,-0.3437,0.7763815363939216,0.1909160784698196,0.7763815363939216,9.067367554,0.4266527890276834,0.25952250189352,0.4266527890276834
-6.20001221,0.6429072269402467,0.2463411143978951,0.6429072269402467,116.4180527,0.5392933388376214,0.2618543942060354,0.5392933388376214,114.3088708,0.3393463970112118,0.2472250836485795,0.3393463970112118,10.22022044,0.4361603802821163,0.2700418546910698,0.4361603802821163,-0.2251892,0.8311083854112213,0.1403363422629114,0.8311083854112213,0.766,0.7122628733615721,0.2208627252118295,0.7122628733615721,35.29411697,0.9126372810470276,0.0959160412046036,0.9126372810470276,133.0,0.7571104890703787,0.1972140624656829,0.7571104890703787,2330.0,0.8316567845898385,0.1533453149520846,0.8316567845898385,21.93000031,0.937086820361672,0.0684826023861137,0.937086820361672,17.0,0.6089866405550985,0.2493057627008885,0.6089866405550985,-0.3984,0.7771166517772896,0.1906263643857381,0.7771166517772896,9.046261787,0.4266527890276834,0.25952250189352,0.4266527890276834
-6.10003661,0.6423361928453181,0.2468631644694104,0.6423361928453181,116.1928711,0.5396562145937626,0.2619737851498578,0.5396562145937626,114.2225517,0.3394125148548685,0.2472683826597457,0.3394125148548685,9.427243578,0.4361603802821163,0.2700418546910698,0.4361603802821163,-0.2251816,0.8307975450108536,0.1406626311874202,0.8307975450108536,0.809,0.7132533437985513,0.2205987303857216,0.7132533437985513,23.52941132,0.9133000254137882,0.0954384908249126,0.9133000254137882,125.0,0.7580694207677505,0.1969225447596326,0.7580694207677505,2330.0,0.8324056153068845,0.1529747193084882,0.8324056153068845,21.14999962,0.9376516967181002,0.067948818732842,0.9376516967181002,17.0,0.6089866405550985,0.2493057627008885,0.6089866405550985,-0.4023,0.7764983977124422,0.1908329269587937,0.7764983977124422,9.01844883,0.4250303236183679,0.2593851678670497,0.4250303236183679
-6.09997558,0.6408655959544042,0.2485605645805497,0.6408655959544042,115.7425156,0.5400152150850325,0.2620919346102694,0.5400152150850325,114.1324796,0.3394759785636991,0.2473099429776951,0.3394759785636991,8.645509701,0.4361603802821163,0.2700418546910698,0.4361603802821163,-0.4503555,0.8310311452473125,0.1404206200350856,0.8310311452473125,0.773,0.7137548496690311,0.2201075787124091,0.7137548496690311,38.4313736,0.9139754881532884,0.0949426350901291,0.9139754881532884,128.0,0.7595970501324661,0.1960153211165329,0.7595970501324661,2315.0,0.8332905813377247,0.1524643780063469,0.8332905813377247,17.40999985,0.938173777529424,0.0674663789328533,0.938173777529424,17.0,0.6089866405550985,0.2493057627008885,0.6089866405550985,-0.5312,0.7754487467297316,0.1914195920680139,0.7754487467297316,8.979017258,0.4237666604996199,0.259148285842309,0.4237666604996199
-6.40002442,0.6401584182164559,0.2491635977171454,0.6401584182164559,115.7425156,0.5403703535315028,0.2622088456530224,0.5403703535315028,114.0424075,0.3395367892958382,0.2473497654300795,0.3395367892958382,7.847274833,0.4361603802821163,0.2700418546910698,0.4361603802821163,0.0,0.8323582013095076,0.1395315836025598,0.8323582013095076,0.824,0.7139433898473997,0.2199749278309635,0.7139433898473997,39.60784531,0.9139021690100144,0.0950228923798983,0.9139021690100144,141.0,0.7599401815498289,0.1956944881416354,0.7599401815498289,2323.0,0.8332772807098914,0.1524757621269478,0.8332772807098914,24.10000038,0.9388136705041576,0.0668181394822963,0.9388136705041576,17.0,0.6089866405550985,0.2493057627008885,0.6089866405550985,-0.5273,0.7753167495304808,0.1915143514916376,0.7753167495304808,8.962133408,0.4240149068715289,0.2592745735245884,0.4240149068715289
