ENGINE_LOAD,ENGINE_LOAD_entropy,ENGINE_LOAD_complexity,ENGINE_LOAD_fisher,ENGINE_LOAD_shannon,ENGINE_RPM,ENGINE_RPM_entropy,ENGINE_RPM_complexity,ENGINE_RPM_fisher,ENGINE_RPM_shannon,INTAKE_MANIFOLD_PRESSURE,INTAKE_MANIFOLD_PRESSURE_entropy,INTAKE_MANIFOLD_PRESSURE_complexity,INTAKE_MANIFOLD_PRESSURE_fisher,INTAKE_MANIFOLD_PRESSURE_shannon,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 1_entropy,Short Term Fuel Trim Bank 1_complexity,Short Term Fuel Trim Bank 1_fisher,Short Term Fuel Trim Bank 1_shannon,MAF,MAF_entropy,MAF_complexity,MAF_fisher,MAF_shannon,SPEED,SPEED_entropy,SPEED_complexity,SPEED_fisher,SPEED_shannon,THROTTLE_POS,THROTTLE_POS_entropy,THROTTLE_POS_complexity,THROTTLE_POS_fisher,THROTTLE_POS_shannon
93.7,0.8302692270854459,0.1911760942912549,0.8302692270854459,0.2236516219735948,2271.0,0.8708134425596321,0.1627676109918937,0.8708134425596321,0.1201578200798885,20.0,0.8617658337839061,0.1618839166752662,0.8617658337839061,0.1775023258075767,-5.5,0.8687880380475899,0.1848429850147024,0.8687880380475899,0.0718077435111057,32.26,0.8638900799046756,0.1714128588930489,0.8638900799046756,0.1659080903790978,35.0,0.7719070818477582,0.2437430150684762,0.7719070818477582,0.1214050668116305,37.3,0.8687319898832738,0.1595753477418978,0.8687319898832738,0.2037118146159792
74.9,0.8391896116038873,0.1871678890478131,0.8391896116038873,0.2080885821330933,1802.0,0.8708134425596321,0.1627676109918937,0.8708134425596321,0.1160527223776625,55.0,0.8807669350780443,0.1416872189408001,0.8807669350780443,0.1644398232367341,-0.8,0.8712944085131332,0.1833508845808757,0.8712944085131332,0.0610143029604203,20.3,0.8741829033234506,0.1640590064857069,0.8741829033234506,0.1439443026211204,43.0,0.7650693187113943,0.2447128719528685,0.7650693187113943,0.1283580846246862,33.3,0.8872305507742422,0.1392409593511111,0.8872305507742422,0.1888757993561023
65.1,0.8439538989685008,0.1827875591711861,0.8439538989685008,0.1869972688276975,2227.0,0.878084100389789,0.1564224193662913,0.878084100389789,0.1085865642742038,30.0,0.8916127137940818,0.1335996119655225,0.8916127137940818,0.1515860876487756,-7.8,0.8665301211485197,0.1879368411501782,0.8665301211485197,0.0785013563549598,21.43,0.8755777299242458,0.1631140746697891,0.8755777299242458,0.1394308336122055,47.0,0.7546156917306208,0.2472523378045018,0.7546156917306208,0.1343046281674831,33.7,0.8872305507742422,0.1392409593511111,0.8872305507742422,0.1908229605759601
18.0,0.824492237464811,0.2009849474673647,0.824492237464811,0.1980216038578687,2254.0,0.870813442559632,0.162767610991893,0.870813442559632,0.1159009659199011,35.0,0.90215399077933,0.117172565419331,0.90215399077933,0.1492763947086459,0.0,0.8665301211485197,0.1879368411501782,0.8665301211485197,0.0785013563549598,6.1,0.8755777299242458,0.1631140746697891,0.8755777299242458,0.1394308336122055,41.0,0.7571220621961641,0.2463136013027456,0.7571220621961641,0.1339423007181939,24.3,0.8766892737889939,0.1550849156502892,0.8766892737889939,0.1949049432429958
98.4,0.8120751679252666,0.2159621859436618,0.8120751679252666,0.1969496716338822,1937.0,0.8719249864243803,0.1621502205693956,0.8719249864243803,0.113226310646364,69.0,0.9083131047447388,0.1108626993884994,0.9083131047447388,0.141731105461663,5.5,0.8665301211485197,0.1879368411501782,0.8665301211485197,0.0785013563549598,28.56,0.8755777299242458,0.1631140746697891,0.8755777299242458,0.1394308336122055,46.0,0.7676633391814124,0.2344207944947453,0.7676633391814124,0.133126717132007,36.9,0.8872305507742422,0.1392409593511114,0.8872305507742422,0.1925952503028661
86.3,0.8120751679252666,0.2159621859436618,0.8120751679252666,0.1969496716338822,2410.0,0.8868484264294682,0.1432021073074079,0.8868484264294682,0.1059119090006667,56.0,0.901042446914582,0.1178809067066113,0.901042446914582,0.1505046419418835,-7.0,0.877071398133768,0.1727171599837377,0.877071398133768,0.0870874988189878,27.71,0.8755777299242458,0.1631140746697891,0.8755777299242458,0.1394308336122055,55.0,0.7662685125806172,0.2350509105946471,0.7662685125806172,0.144179344300985,35.7,0.8872305507742422,0.1392409593511114,0.8872305507742422,0.1925952503028661
24.3,0.8120751679252666,0.2159621859436618,0.8120751679252666,0.1969496716338822,2895.0,0.8882432530302633,0.1422031781848372,0.8882432530302633,0.1028358050312564,19.0,0.8981539521042644,0.1213096761337157,0.8981539521042644,0.1566399689112494,3.9,0.8908832942741075,0.1544579299302926,0.8908832942741075,0.0819682695645907,7.79,0.8755777299242458,0.1631140746697891,0.8755777299242458,0.1394308336122055,57.0,0.7449486966478999,0.2492656074082143,0.7449486966478999,0.1364759827680803,26.7,0.8872305507742422,0.1392409593511114,0.8872305507742422,0.1925952503028661
63.1,0.8191197598894119,0.2137294764827161,0.8191197598894119,0.189110258539712,1535.0,0.8853547582199459,0.1454931612088114,0.8853547582199459,0.0993250014086489,39.0,0.895265457293947,0.1247139608339939,0.895265457293947,0.163031644518415,7.8,0.8908832942741075,0.1544579299302926,0.8908832942741075,0.0819682695645907,14.43,0.8790968026458104,0.1614986567780295,0.8790968026458104,0.1283007701882062,56.0,0.7430729040936036,0.2502808870129709,0.7430729040936036,0.1251747968116512,31.4,0.8927590868284037,0.1362704721959109,0.8927590868284037,0.1793924765018683
46.7,0.8381208611835501,0.1960720086232209,0.8381208611835501,0.1824923162259579,1547.0,0.8882432530302633,0.1422031781848368,0.8882432530302633,0.0994295089768755,44.0,0.895265457293947,0.1247139608339939,0.895265457293947,0.1662980435992639,0.0,0.893771789084425,0.1511706358285743,0.893771789084425,0.0824213214305056,10.7,0.8929086987861499,0.1430092054544978,0.8929086987861499,0.124897024406132,57.0,0.7643927200263211,0.2361655884642023,0.7643927200263211,0.1381409393204802,29.0,0.9051761563679482,0.1180975884767213,0.9051761563679482,0.1778983671479254
59.6,0.8566194220745187,0.1774860713605327,0.8566194220745187,0.1687779268369027,1562.0,0.8838610900104238,0.1455103999303543,0.8838610900104238,0.1084347232046308,50.0,0.895265457293947,0.1247139608339952,0.895265457293947,0.1573294105465872,4.7,0.8985360764490387,0.1461815108709882,0.8985360764490387,0.0773579266851261,13.52,0.9005614809610808,0.1300769802571937,0.9005614809610808,0.1279070748491813,59.0,0.7615042252160037,0.2385006616742168,0.7615042252160037,0.1466225742162815,31.0,0.9080646511782656,0.114625780047097,0.9080646511782656,0.1738163844808896
51.8,0.8613837094391322,0.1729178624863433,0.8613837094391322,0.1572632110746734,1690.0,0.8789471906880642,0.1481833774401789,0.8789471906880642,0.1057751125977232,37.0,0.9000297446585607,0.1195730651902823,0.9000297446585607,0.1458146947843579,0.8,0.9134595164541264,0.1262341465249719,0.9134595164541264,0.0832828800155054,12.61,0.9053257683256942,0.1249263981332182,0.9053257683256942,0.1309171252922306,62.0,0.7401844092832862,0.2524451256960224,0.7401844092832862,0.1512002913565753,30.2,0.9128289385428792,0.109340054630945,0.9128289385428792,0.1721255718988315
43.5,0.8613837094391322,0.1729178624863433,0.8613837094391322,0.1585795478404185,1694.0,0.8748134812346978,0.1500417981121241,0.8748134812346978,0.1023512036762894,20.0,0.902536115124104,0.1178080707246543,0.902536115124104,0.1345179676207858,-0.8,0.9134595164541264,0.1262341465249719,0.9134595164541264,0.0832828800155054,10.48,0.9024372735153768,0.1283526305015916,0.9024372735153768,0.1392559621192539,61.0,0.7340252953178776,0.2560900964422549,0.7340252953178776,0.1530038643614056,29.0,0.9066698245774704,0.1156992609645898,0.9066698245774704,0.1836960375582669
18.4,0.8578085885532515,0.1741334566603405,0.8578085885532515,0.1710104903973119,1638.0,0.875925025099446,0.1494035027259845,0.875925025099446,0.0996765484027523,21.0,0.9006603225698079,0.1195545836000387,0.9006603225698079,0.1412136931793943,0.0,0.9101888972990352,0.1290489970957996,0.9101888972990352,0.073624805327491,4.2,0.8989182007938122,0.1301743187801473,0.8989182007938122,0.1533009284305831,52.0,0.7448038342653467,0.2539660253222954,0.7448038342653467,0.1497367904600882,21.6,0.901141288523309,0.1188679357370203,0.901141288523309,0.1977631244875542
19.2,0.8545379693981603,0.1765366151915422,0.8545379693981603,0.1777401960581079,1324.0,0.8814535611536075,0.1465569611083401,0.8814535611536075,0.1019715145746335,20.0,0.9054246099344214,0.1143476274199885,0.9054246099344214,0.1374098908853217,1.6,0.9040297833336262,0.1352520311419128,0.9040297833336262,0.069555032967624,3.56,0.8933896647396508,0.1332145596507648,0.8933896647396508,0.1686276078111773,41.0,0.7519868420910288,0.253251690255396,0.7519868420910288,0.1550549762898101,20.4,0.893184004617589,0.1238823789214097,0.893184004617589,0.213485284610884
