ENGINE_LOAD,ENGINE_LOAD_entropy,ENGINE_LOAD_complexity,ENGINE_LOAD_fisher,ENGINE_LOAD_shannon,ENGINE_RPM,ENGINE_RPM_entropy,ENGINE_RPM_complexity,ENGINE_RPM_fisher,ENGINE_RPM_shannon,INTAKE_MANIFOLD_PRESSURE,INTAKE_MANIFOLD_PRESSURE_entropy,INTAKE_MANIFOLD_PRESSURE_complexity,INTAKE_MANIFOLD_PRESSURE_fisher,INTAKE_MANIFOLD_PRESSURE_shannon,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 1_entropy,Short Term Fuel Trim Bank 1_complexity,Short Term Fuel Trim Bank 1_fisher,Short Term Fuel Trim Bank 1_shannon,MAF,MAF_entropy,MAF_complexity,MAF_fisher,MAF_shannon,SPEED,SPEED_entropy,SPEED_complexity,SPEED_fisher,SPEED_shannon,THROTTLE_POS,THROTTLE_POS_entropy,THROTTLE_POS_complexity,THROTTLE_POS_fisher,THROTTLE_POS_shannon
18.0,0.944452769498624,0.08124650333903059,0.944452769498624,0.06330301625178075,1623.0,0.9597583338484859,0.05721706509177901,0.9597583338484859,0.03797764680987525,42.0,0.958745631592465,0.051817280310995396,0.958745631592465,0.04929563667232273,7.0,0.9454654717546452,0.07941686074521609,0.9454654717546452,0.08309814901234916,4.52,0.9669301500699158,0.04324860550209366,0.9669301500699158,0.05875873444705231,47.0,0.781956201275253,0.21378000161704364,0.781956201275253,0.13332632145536838,24.7,0.957500416949416,0.053758303750537514,0.957500416949416,0.07768621688772331
49.8,0.9477233886537154,0.0781263114660785,0.9477233886537154,0.05398543727789189,1565.0,0.9597583338484859,0.057217065091779366,0.9597583338484859,0.03908737003671589,43.0,0.9539813442278514,0.05771231560617543,0.9539813442278514,0.05053339738846599,-0.8,0.9407011843900317,0.08508355440591496,0.9407011843900317,0.09588433938178133,11.09,0.9716944374345295,0.0371949334245541,0.9716944374345295,0.04679096681890814,45.0,0.7924098282560266,0.2104601485459844,0.7924098282560266,0.12968947085270127,29.4,0.9603889117597333,0.04985004171410366,0.9603889117597333,0.07219160201159258
67.8,0.9477233886537154,0.0781263114660785,0.9477233886537154,0.05249132792394903,1358.0,0.9597583338484859,0.05721706509177866,0.9597583338484859,0.04370675591697539,48.0,0.9505506136407524,0.06037183663799342,0.9505506136407524,0.04909374398652685,-1.6,0.942576976944328,0.08316917625016493,0.942576976944328,0.09544033051666138,13.03,0.9716944374345295,0.0371949334245541,0.9716944374345295,0.04529685746496529,15.0,0.7992475913923905,0.20900744275682537,0.7992475913923905,0.13574476166876273,30.2,0.9632774065700507,0.045917294950846295,0.9632774065700507,0.07219160201159258
59.6,0.9477233886537154,0.0781263114660785,0.9477233886537154,0.059839709671833705,1886.0,0.9626468286588032,0.053309261266620785,0.9626468286588032,0.03962477324993961,68.0,0.941564274688307,0.06921092661518519,0.941564274688307,0.05994416643947572,-4.7,0.942576976944328,0.08316917625016355,0.942576976944328,0.10129735745389278,17.28,0.976458724799143,0.031079808523950883,0.976458724799143,0.03872843749806118,29.0,0.8046055165402831,0.20798571508253652,0.8046055165402831,0.13889516189107315,31.4,0.9585131192054371,0.05187194932799377,0.9585131192054371,0.08329789566654842
53.3,0.9506118834640327,0.0743354300439544,0.9506118834640327,0.05158234998965838,1392.0,0.9626468286588032,0.053309261266620785,0.9626468286588032,0.046517202036663395,59.0,0.9396884821340106,0.0711506954153427,0.9396884821340106,0.05931624308060919,-3.1,0.944452769498624,0.08124650333903025,0.944452769498624,0.09918436774187826,12.74,0.9735702299888258,0.0351141718483879,0.9735702299888258,0.05202448598799142,34.0,0.8011747859531841,0.2095154091908095,0.8011747859531841,0.15481962008730882,30.6,0.9479718422201888,0.07022254385499074,0.9479718422201888,0.10613682780858563
71.0,0.9477233886537154,0.0781263114660785,0.9477233886537154,0.06152147925309693,1775.0,0.9597583338484859,0.057217065091779366,0.9597583338484859,0.05360923514674847,30.0,0.927271412594466,0.09076859275930635,0.927271412594466,0.1113180258023242,-3.9,0.944452769498624,0.08124650333903025,0.944452769498624,0.10239112141304282,16.52,0.968805942624212,0.041190475351737546,0.968805942624212,0.06548636297007843,32.0,0.7887577164136397,0.22375538301938727,0.7887577164136397,0.14812643662936087,23.9,0.9407011843900317,0.07793753395740774,0.9407011843900317,0.12035727785129341
83.9,0.9444527694986241,0.08124650333903026,0.9444527694986241,0.07061768410860583,1719.0,0.9626468286588032,0.053309261266621125,0.9626468286588032,0.05129954220661872,77.0,0.9272714125944658,0.09076859275930632,0.9272714125944658,0.1132651870221819,3.9,0.944452769498624,0.08124650333903025,0.944452769498624,0.10239112141304282,22.44,0.9688059426242122,0.04119047535173755,0.9688059426242122,0.06399225361613559,34.0,0.7940642395550348,0.22110999482006363,0.7940642395550348,0.13971074547726006,34.5,0.942576976944328,0.07600890637561973,0.942576976944328,0.1107210348984426
72.5,0.9320356999590796,0.10084203683940332,0.9320356999590796,0.06954575188461934,2137.0,0.9626468286588032,0.053309261266620785,0.9626468286588032,0.04721755953958293,85.0,0.9225071252298522,0.09625177019139236,0.9225071252298522,0.12371701356121963,1.6,0.9492170568632375,0.07553454682671046,0.9492170568632375,0.0900608220646266,17.89,0.9669301500699159,0.04324860550209366,0.9669301500699159,0.06824006477532815,40.0,0.8062981783046319,0.21513552904672442,0.8062981783046319,0.13872451912416733,32.9,0.9381948139244883,0.07991074713837706,0.9381948139244883,0.1192254959466397
100.0,0.942576976944328,0.08316917625016493,0.942576976944328,0.08007905556850498,2092.0,0.9597583338484859,0.05721706509177866,0.9597583338484859,0.06028193028197827,91.0,0.9051761563679482,0.11809758847672133,0.9051761563679482,0.12646884249968243,-6.2,0.9492170568632375,0.07553454682671046,0.9492170568632375,0.0900608220646266,33.59,0.9669301500699159,0.04324860550209473,0.9669301500699159,0.06593037183519841,47.0,0.786411457380104,0.2313423786719025,0.786411457380104,0.14272079592030937,39.2,0.9353063191141711,0.08362884644033242,0.9353063191141711,0.12674874918747606
87.5,0.953118253929576,0.06507551811644319,0.953118253929576,0.08497946097682875,1573.0,0.9597583338484859,0.05721706509177866,0.9597583338484859,0.06028193028197827,73.0,0.9051761563679482,0.11809758847672133,0.9051761563679482,0.11920193789664568,-8.6,0.9419463990330806,0.08322048078355201,0.9419463990330806,0.10386044021754962,20.43,0.9563888730846675,0.061866175657165436,0.9563888730846675,0.09047387158197658,48.0,0.7766713692123718,0.23433844863389322,0.7766713692123718,0.14738555052325444,34.1,0.92765353693924,0.09752840817297063,0.92765353693924,0.12142900580429702
93.3,0.953118253929576,0.06507551811644319,0.953118253929576,0.0834853516228859,1642.0,0.9578825412941898,0.059223116103064175,0.9578825412941898,0.055149847126119596,77.0,0.8946348793826998,0.13457875470678868,0.8946348793826998,0.11742964816973965,-7.8,0.9400706064787844,0.08513325176273576,0.9400706064787844,0.1100554125965999,23.3,0.9582646656389637,0.0598687921811497,0.9582646656389637,0.08055944825616258,54.0,0.7698336060760078,0.2354238324852197,0.7698336060760078,0.14001392294144782,35.3,0.9295293294935363,0.09567042919747357,0.9295293294935363,0.1085860091802816
