AltitudeVariation,AltitudeVariation_entropy,AltitudeVariation_complexity,AltitudeVariation_fisher,VehicleSpeedInstantaneous,VehicleSpeedInstantaneous_entropy,VehicleSpeedInstantaneous_complexity,VehicleSpeedInstantaneous_fisher,VehicleSpeedAverage,VehicleSpeedAverage_entropy,VehicleSpeedAverage_complexity,VehicleSpeedAverage_fisher,VehicleSpeedVariance,VehicleSpeedVariance_entropy,VehicleSpeedVariance_complexity,VehicleSpeedVariance_fisher,VehicleSpeedVariation,VehicleSpeedVariation_entropy,VehicleSpeedVariation_complexity,VehicleSpeedVariation_fisher,LongitudinalAcceleration,LongitudinalAcceleration_entropy,LongitudinalAcceleration_complexity,LongitudinalAcceleration_fisher,EngineLoad,EngineLoad_entropy,EngineLoad_complexity,EngineLoad_fisher,ManifoldAbsolutePressure,ManifoldAbsolutePressure_entropy,ManifoldAbsolutePressure_complexity,ManifoldAbsolutePressure_fisher,EngineRPM,EngineRPM_entropy,EngineRPM_complexity,EngineRPM_fisher,MassAirFlow,MassAirFlow_entropy,MassAirFlow_complexity,MassAirFlow_fisher,IntakeAirTemperature,IntakeAirTemperature_entropy,IntakeAirTemperature_complexity,IntakeAirTemperature_fisher,VerticalAcceleration,VerticalAcceleration_entropy,VerticalAcceleration_complexity,VerticalAcceleration_fisher,FuelConsumptionAverage,FuelConsumptionAverage_entropy,FuelConsumptionAverage_complexity,FuelConsumptionAverage_fisher
-0.5999756,0.6526036898061235,0.3932108325242066,0.6526036898061235,60.34823608,0.3974821880832771,0.3069034776661634,0.3974821880832771,51.10459893,-0.0,-0.0,0.0,243.3948002,0.3023152933522928,0.2659452449708835,0.3023152933522928,1.35107803,0.7283153807766374,0.3669160697443577,0.7283153807766374,0.6679,0.6233536347499695,0.3751317934679893,0.6233536347499695,49.41176605,0.7302670743470807,0.3668668528556749,0.7302670743470807,137.0,0.6433572525155365,0.3844303061733383,0.6433572525155365,1943.0,0.5368704302926322,0.3677790821063867,0.5368704302926322,20.57999992,0.7625594248596836,0.3575581766951771,0.7625594248596836,19.0,0.5337937516040715,0.3756995556973658,0.5337937516040715,-0.2344,0.7428853855561058,0.369103949660919,0.7428853855561058,13.82261658,0.3148786926167757,0.2516074202365587,0.3148786926167757
-0.2999878,0.6609936355652486,0.3912840950659733,0.6609936355652486,61.69932175,0.3861752400920974,0.2995331191709336,0.3861752400920974,51.70507898,-0.0,-0.0,0.0,233.966345,0.3023152933522928,0.2659452449708835,0.3023152933522928,1.35108567,0.7283153807766374,0.3669160697443577,0.7283153807766374,0.6484,0.6156858205717392,0.3724832560220503,0.6156858205717392,45.49019623,0.7302670743470807,0.3668668528556749,0.7302670743470807,130.0,0.6433572525155365,0.3844303061733383,0.6433572525155365,1972.0,0.527045604097059,0.3628531544557434,0.527045604097059,23.20000076,0.7677302445244679,0.3534424016812119,0.7677302445244679,19.0,0.5393309482744258,0.3780881708959809,0.5393309482744258,-0.1914,0.7344954397969807,0.3726936696328524,0.7344954397969807,13.8035202,0.3148786926167757,0.2516074202365587,0.3148786926167757
0.0999756,0.6661644552300326,0.3886699433992566,0.6661644552300326,62.60003281,0.3695771303360829,0.2911112585835107,0.3695771303360829,52.34684187,-0.0,-0.0,0.0,222.6380582,0.3023152933522928,0.2659452449708835,0.3023152933522928,0.90071106,0.7302670743470808,0.3668668528556749,0.7302670743470808,0.6133,0.6156858205717392,0.3724832560220503,0.6156858205717392,43.92156982,0.7231445611118533,0.3704715806905969,0.7231445611118533,133.0,0.65650707694701,0.384571316272941,0.65650707694701,2009.0,0.5170430936689574,0.3577441636332929,0.5170430936689574,21.59000015,0.7677302445244679,0.3534424016812119,0.7677302445244679,19.0,0.5286229319392872,0.3765635475591459,0.5286229319392872,-0.1641,0.7251630398229713,0.375878141361835,0.7251630398229713,13.76759624,0.3148786926167757,0.2516074202365587,0.3148786926167757
0.3000488,0.6642127616595893,0.3884703061214787,0.6642127616595893,63.50076294,0.3599849536505887,0.2843188491346964,0.3599849536505887,53.02613494,-0.0,-0.0,0.0,209.4235967,0.3023152933522928,0.2659452449708835,0.3023152933522928,0.90073013,0.7250962546822967,0.3704463009082523,0.7250962546822967,0.625,0.6233536347499695,0.3751317934679893,0.6233536347499695,28.62745094,0.7147546153527282,0.3737231205039275,0.7147546153527282,125.0,0.6693457107900247,0.3842525300097426,0.6693457107900247,2016.0,0.5170430936689574,0.3577441636332929,0.5170430936689574,15.55000019,0.7677302445244679,0.3534424016812119,0.7677302445244679,19.0,0.5192905319652779,0.3755870609421496,0.5192905319652779,-0.1523,0.7150795936617415,0.3786272674781024,0.7150795936617415,13.66559601,0.3148786926167757,0.2516074202365587,0.3148786926167757
0.9000244,0.6520873034694463,0.3889446369712442,0.6520873034694463,63.7259407,0.3599849536505887,0.2843188491346964,0.3599849536505887,53.71668695,-0.0,-0.0,0.0,194.8699945,0.3023152933522928,0.2659452449708835,0.3023152933522928,0.22517776,0.7250962546822967,0.3704463009082523,0.7250962546822967,0.6054,0.6358527128941989,0.3752380333405931,0.6358527128941989,29.01960754,0.7076321021175007,0.3770277852335174,0.7076321021175007,114.0,0.6818447889342542,0.3834758578047804,0.6818447889342542,2015.0,0.527045604097059,0.3628531544557434,0.527045604097059,15.55000019,0.7677302445244679,0.3534424016812119,0.7677302445244679,19.0,0.5048851927102805,0.3711722038638315,0.5048851927102805,-0.1719,0.7099087739969573,0.3819371199247772,0.7099087739969573,13.66559601,0.3250046660564423,0.2590014355276681,0.3250046660564423
1.6000366,0.639588225325217,0.3889486467875842,0.639588225325217,63.95111847,0.3599849536505887,0.2843188491346964,0.3599849536505887,54.38847392,-0.0,-0.0,0.0,180.8580149,0.3023152933522928,0.2659452449708835,0.3023152933522928,0.22517777,0.7179737414470692,0.3739389906976335,0.7179737414470692,0.4765,0.6428073514195577,0.377359974757874,0.6428073514195577,41.17647171,0.7024612824527163,0.3802570648392539,0.7024612824527163,123.0,0.6887994274596129,0.3852631612900506,0.6887994274596129,2035.0,0.5420412499574163,0.3667036371967311,0.5420412499574163,18.79000092,0.7677302445244679,0.3534424016812119,0.7677302445244679,17.0,0.497762679475053,0.3708802101401956,0.497762679475053,-0.1875,0.7140703543061824,0.382460568827685,0.7140703543061824,13.60729885,0.3250046660564423,0.2590014355276681,0.3250046660564423
1.5999756,0.6311982795660918,0.3905137027176582,0.6311982795660918,64.62665558,0.3599849536505887,0.2843188491346964,0.3599849536505887,55.05275488,-0.0,-0.0,0.0,167.3169686,0.3023152933522928,0.2659452449708835,0.3023152933522928,0.67553711,0.7231445611118533,0.3704715806905969,0.7231445611118533,0.4219,0.6473949996069903,0.3790196765588139,0.6473949996069903,40.39215851,0.7076321021175007,0.3770277852335174,0.7076321021175007,129.0,0.7005095888822731,0.3837366278113916,0.7005095888822731,2060.0,0.5568503201353119,0.3700804269215834,0.5568503201353119,21.87999916,0.7748527577596955,0.3490249156206523,0.7748527577596955,18.0,0.5020845725688203,0.3737297167104449,0.5020845725688203,-0.1602,0.7211928675414101,0.3791119275629266,0.7211928675414101,13.57752705,0.3077561793815481,0.2489729920591362,0.3077561793815481
1.2999878,0.6311982795660918,0.3905137027176582,0.6311982795660918,65.52737427,0.3599849536505887,0.2843188491346964,0.3599849536505887,55.72078883,-0.0,-0.0,0.0,153.8651434,0.3023152933522928,0.2659452449708835,0.3023152933522928,0.90071869,0.7231445611118533,0.3704715806905969,0.7231445611118533,0.3711,0.6408556578491144,0.3771202783699435,0.6408556578491144,21.56862831,0.7188747969653966,0.3747964458205827,0.7188747969653966,119.0,0.7117522837301689,0.3817553232307037,0.7117522837301689,2070.0,0.5643404727672591,0.3739421454020643,0.5643404727672591,14.93999958,0.7800235774244798,0.3447090016219447,0.7800235774244798,19.0,0.5162703758239275,0.3781603733477081,0.5162703758239275,-0.1562,0.7263636872061943,0.3756421617305158,0.7263636872061943,13.41832161,0.2904095245862491,0.2384485205637007,0.2904095245862491
0.7999878,0.6260274599013076,0.39264774667042,0.6260274599013076,65.52737427,0.3599849536505887,0.2843188491346964,0.3599849536505887,56.36630475,-0.0,-0.0,0.0,140.8913893,0.3023152933522928,0.2659452449708835,0.3023152933522928,0.0,0.7302670743470807,0.3668668528556749,0.7302670743470807,0.3555,0.6339010193237555,0.3749824860132451,0.6339010193237555,5.09803915,0.7240456166301807,0.371324151704334,0.7240456166301807,110.0,0.7098005901597255,0.3817120330107867,0.7098005901597255,2061.0,0.5643404727672591,0.3739421454020643,0.5643404727672591,14.93999958,0.7748527577596955,0.3490249156206533,0.7748527577596955,18.0,0.5302229046975248,0.3820986882705392,0.5302229046975248,-0.1719,0.7263636872061943,0.3756421617305158,0.7263636872061943,13.41832161,0.282019578827124,0.2345386285265182,0.282019578827124
0.3999634,0.6204902632309532,0.3909104323335702,0.6204902632309532,64.85183716,0.3766996435713106,0.2929798698006335,0.3766996435713106,56.97804371,-0.0,-0.0,0.0,128.2346061,0.2923127829241911,0.2581509488555493,0.2923127829241911,-0.67553711,0.7302670743470807,0.3668668528556749,0.7302670743470807,0.3945,0.6287301996589715,0.3772798850024895,0.6287301996589715,0.0,0.7147132166561713,0.374343803929356,0.7147132166561713,110.0,0.7026780769244979,0.384861332664261,0.7026780769244979,1967.0,0.5643404727672591,0.3739421454020643,0.5643404727672591,20.54999924,0.7819752709949231,0.3444659357790834,0.7819752709949231,18.0,0.5302229046975248,0.3820986882705392,0.5302229046975248,-0.1641,0.7263636872061943,0.3756421617305158,0.7263636872061943,13.37944603,0.2645772736018478,0.2232307440175152,0.2645772736018478
