ENGINE_LOAD,ENGINE_LOAD_entropy,ENGINE_LOAD_complexity,ENGINE_LOAD_fisher,ENGINE_RPM,ENGINE_RPM_entropy,ENGINE_RPM_complexity,ENGINE_RPM_fisher,INTAKE_MANIFOLD_PRESSURE,INTAKE_MANIFOLD_PRESSURE_entropy,INTAKE_MANIFOLD_PRESSURE_complexity,INTAKE_MANIFOLD_PRESSURE_fisher,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 1_entropy,Short Term Fuel Trim Bank 1_complexity,Short Term Fuel Trim Bank 1_fisher,MAF,MAF_entropy,MAF_complexity,MAF_fisher,SPEED,SPEED_entropy,SPEED_complexity,SPEED_fisher,THROTTLE_POS,THROTTLE_POS_entropy,THROTTLE_POS_complexity,THROTTLE_POS_fisher,TIMING_ADVANCE,TIMING_ADVANCE_entropy,TIMING_ADVANCE_complexity,TIMING_ADVANCE_fisher
51.0,0.9559875353656174,0.07036906581282897,0.9559875353656174,1644.0,0.9136938384906674,0.13913936989508915,0.9136938384906674,49.0,0.9303036865531426,0.11491081087141351,0.9303036865531426,-3.1,0.950161588198098,0.0834290936286263,0.950161588198098,12.6,0.9532201442750996,0.07989413910315828,0.9532201442750996,48.0,0.6919181855485081,0.278608519032336,0.6919181855485081,30.2,0.9175578124289795,0.11960245896470266,0.9175578124289795,69.4,0.9307775942323365,0.10618777292963034,0.9307775942323365
60.0,0.9562009776111944,0.07009947942787553,0.9562009776111944,1600.0,0.913565628869895,0.13922426204405836,0.913565628869895,40.0,0.9303036865531426,0.11491081087141351,0.9303036865531426,-3.1,0.9500507268239636,0.08358228383166509,0.9500507268239636,13.91,0.953443264315562,0.07950266849782112,0.953443264315562,48.0,0.6925791896994274,0.27872988975638247,0.6925791896994274,31.0,0.9174502223225224,0.11977405164157683,0.9174502223225224,68.2,0.9307775942323365,0.10618777292963034,0.9307775942323365
13.7,0.9561018488104427,0.07031979487871061,0.9561018488104427,1605.0,0.9134785085881735,0.13929907070557218,0.9134785085881735,20.0,0.929955744468369,0.11543068640087176,0.929955744468369,0.0,0.950003925053863,0.08362972402794708,0.950003925053863,3.76,0.9532704240119704,0.07986657699009504,0.9532704240119704,35.0,0.6924371018874701,0.2787275879978296,0.6924371018874701,21.6,0.9175239338253627,0.11963794043228994,0.9175239338253627,74.9,0.9309588958416337,0.10587223851482547,0.9309588958416337
21.2,0.9562746891140347,0.06995299397643542,0.9562746891140347,1120.0,0.9135475515311425,0.13921601301398484,0.9135475515311425,53.0,0.929955744468369,0.11543068640087176,0.929955744468369,-5.5,0.9502355064000307,0.08316384641799962,0.9502355064000307,3.58,0.9532013810690012,0.07995844095879748,0.9532013810690012,36.0,0.6923217534672667,0.2787467432505,0.6923217534672667,18.8,0.9175239338253627,0.11963794043228994,0.9175239338253627,57.3,0.9310372759043448,0.10576471122199305,0.9310372759043448
58.0,0.9564475294176265,0.06958605588523507,0.9564475294176265,1257.0,0.9137873799992063,0.13892313366459572,0.9137873799992063,34.0,0.9303280254818489,0.1148868767477906,0.9303280254818489,3.1,0.9500170549194393,0.08349985212031984,0.9500170549194393,10.12,0.9532013810690012,0.07995844095879748,0.9532013810690012,40.0,0.6923650718179766,0.27873120365544407,0.6923650718179766,24.7,0.9175239338253627,0.11963794043228994,0.9175239338253627,64.7,0.9309682329613759,0.10585223890473283,0.9309682329613759
40.4,0.9566288310269235,0.06925375745546997,0.9566288310269235,1396.0,0.9142574774813284,0.13841194534951953,0.9142574774813284,34.0,0.9300683438098405,0.11530702485303898,0.9300683438098405,3.1,0.9497573732474309,0.0839388174691294,0.9497573732474309,8.09,0.9532013810690012,0.07995844095879748,0.9532013810690012,46.0,0.6924433453604893,0.27872171242807653,0.6924433453604893,26.7,0.9171397060546909,0.12043759999093614,0.9171397060546909,69.4,0.9309193838974947,0.10592809775093784,0.9309193838974947
38.0,0.9566653926584693,0.06920281349431831,0.9566653926584693,1582.0,0.9142757224050218,0.1383984824778522,0.9142757224050218,31.0,0.9300215420397397,0.1153516957084877,0.9300215420397397,-2.3,0.9497573732474308,0.08393881746912939,0.9497573732474308,8.99,0.953127669566161,0.08010364715228596,0.953127669566161,52.0,0.6915472290310436,0.2786672037211548,0.6915472290310436,27.5,0.9169680822402793,0.12062534003851741,0.9169680822402793,72.2,0.9306302078032042,0.10624347409682301,0.9306302078032042
36.5,0.9566653926584693,0.06920281349431831,0.9566653926584693,1750.0,0.9139343189105861,0.13857345646152422,0.9139343189105861,31.0,0.929611292585708,0.11573638332381558,0.929611292585708,3.1,0.9495714030782626,0.08423325613969608,0.9495714030782626,9.41,0.952995217020745,0.08035334846191867,0.952995217020745,55.0,0.6915472290310436,0.2786672037211548,0.6915472290310436,27.8,0.9163169972737402,0.12107331602337244,0.9163169972737402,72.9,0.9302731612986511,0.10639485333894631,0.9302731612986511
34.9,0.9566653926584693,0.06920281349431831,0.9566653926584693,1863.0,0.9137081877312537,0.13866284301393605,0.9137081877312537,32.0,0.9297872442848474,0.11562080670160689,0.9297872442848474,3.1,0.9493529515976713,0.08456875420290091,0.9493529515976713,9.7,0.9531549274587607,0.08012000032178583,0.9531549274587607,57.0,0.6908970986041988,0.278543758343493,0.6908970986041988,28.2,0.9161878338166584,0.12110223639757657,0.9161878338166584,73.3,0.9302731612986511,0.10639485333894631,0.9302731612986511
40.8,0.9570398663519807,0.06894640935914388,0.9570398663519807,1910.0,0.913393988592689,0.13880824303141218,0.913393988592689,20.0,0.9302744630860436,0.11520321303402008,0.9302744630860436,0.8,0.9492204990522551,0.08481675515238007,0.9492204990522551,11.42,0.9530567307686528,0.08020818563572019,0.9530567307686528,58.0,0.6899001529921192,0.27854513199859043,0.6899001529921192,29.8,0.9160464838170658,0.12113414058323901,0.9160464838170658,72.2,0.9309682329613758,0.10585223890473282,0.9309682329613758
19.2,0.9575320460535768,0.06853371264580976,0.9575320460535768,1861.0,0.913393988592689,0.1388082430314128,0.913393988592689,19.0,0.9309539198531225,0.11430032236354018,0.9309539198531225,0.0,0.9493802094902707,0.08458518899329642,0.9493802094902707,5.32,0.9532233712441291,0.0799895331029808,0.9532233712441291,47.0,0.6901100444325021,0.27847090839545136,0.6901100444325021,23.1,0.916395726233873,0.12079099047409686,0.916395726233873,63.1,0.9315311307089739,0.10549323857952668,0.9315311307089739
17.6,0.958107599276463,0.06797978402711594,0.958107599276463,1584.0,0.9134894702522982,0.13874572014465847,0.9134894702522982,35.0,0.931172371333714,0.11397906322200399,0.931172371333714,4.7,0.9496723724737024,0.08410538315174479,0.9496723724737024,4.39,0.9531616682603192,0.08006591053863367,0.9531616682603192,49.0,0.6909315890115385,0.27801510064166723,0.6909315890115385,22.0,0.9163539078027076,0.12084875032918198,0.9163539078027076,62.7,0.9314391813710396,0.10556696320400412,0.9314391813710396
