ENGINE_LOAD,ENGINE_LOAD_entropy,ENGINE_LOAD_complexity,ENGINE_LOAD_fisher,ENGINE_LOAD_shannon,ENGINE_RPM,ENGINE_RPM_entropy,ENGINE_RPM_complexity,ENGINE_RPM_fisher,ENGINE_RPM_shannon,INTAKE_MANIFOLD_PRESSURE,INTAKE_MANIFOLD_PRESSURE_entropy,INTAKE_MANIFOLD_PRESSURE_complexity,INTAKE_MANIFOLD_PRESSURE_fisher,INTAKE_MANIFOLD_PRESSURE_shannon,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 1_entropy,Short Term Fuel Trim Bank 1_complexity,Short Term Fuel Trim Bank 1_fisher,Short Term Fuel Trim Bank 1_shannon,MAF,MAF_entropy,MAF_complexity,MAF_fisher,MAF_shannon,SPEED,SPEED_entropy,SPEED_complexity,SPEED_fisher,SPEED_shannon,THROTTLE_POS,THROTTLE_POS_entropy,THROTTLE_POS_complexity,THROTTLE_POS_fisher,THROTTLE_POS_shannon,TIMING_ADVANCE,TIMING_ADVANCE_entropy,TIMING_ADVANCE_complexity,TIMING_ADVANCE_fisher,TIMING_ADVANCE_shannon
40.4,0.9860270922520816,0.017316566156881524,0.9860270922520816,0.017276495543147138,1747.0,0.9741928218541823,0.033674539955845954,0.9741928218541823,0.01742500782334264,48.0,0.9886209028322552,0.014778410598488886,0.9886209028322552,0.021457522945151245,3.9,0.9964997866992136,0.004622482748361445,0.9964997866992136,0.005268858983845439,11.64,0.9883194795923244,0.014990104456015427,0.9883194795923244,0.012605779999246062,53.0,0.8674441767727189,0.1415367215741881,0.8674441767727189,0.11521575687921792,29.8,0.9877045859823675,0.01585936442918203,0.9877045859823675,0.012856323664610949,72.2,0.9864541382738691,0.017442826875030418,0.9864541382738691,0.01345011362160739
18.0,0.9860579048067594,0.017276297546044803,0.9860579048067594,0.01739542067126043,1649.0,0.9742216120369934,0.033639110798281795,0.9742216120369934,0.017268321321717454,21.0,0.9888531959931578,0.014470903155822553,0.9888531959931578,0.021238285328599518,0.0,0.9966195471686297,0.004464745978776818,0.9966195471686297,0.0048662685551793365,4.24,0.9884129284498262,0.014876025595909845,0.9884129284498262,0.012521882714714778,34.0,0.867770565960686,0.1411545400232387,0.867770565960686,0.11462071096975635,22.0,0.9877878664537747,0.015764034025649402,0.9877878664537747,0.012914871524167898,63.1,0.9865644405349385,0.01729683831645452,0.9865644405349385,0.013342529437953013
42.0,0.9863954592563046,0.01691756084740704,0.9863954592563046,0.01719824327813145,804.0,0.97456178602635,0.03321828928075461,0.97456178602635,0.017254909630060822,59.0,0.9888531959931578,0.014470903155822553,0.9888531959931578,0.021238285328599518,2.3,0.99646931855562,0.004663123332901516,0.99646931855562,0.005043959603012784,4.58,0.9887739917390628,0.014452580915198694,0.9887739917390628,0.012145401200174356,29.0,0.8683747708732716,0.14086435719729012,0.8683747708732716,0.11431275057893411,24.3,0.988096534948364,0.015399148403609918,0.988096534948364,0.01259260278398447,56.1,0.9868185708851909,0.01699370213645104,0.9868185708851909,0.013266202066231823
36.1,0.9868923850066487,0.016326371735627638,0.9868923850066487,0.0166166243994348,1824.0,0.9747322352174875,0.03302581449135026,0.9747322352174875,0.017560251134025016,24.0,0.9891425347252144,0.014108260766183104,0.9891425347252144,0.020638498800811065,-1.6,0.9965066960182808,0.004608576651381857,0.9965066960182808,0.005137952989044046,10.14,0.9890269713450531,0.014172689403403431,0.9890269713450531,0.01214921116224212,40.0,0.8691682310624016,0.140392870531939,0.8691682310624016,0.11443787950429045,29.0,0.9883618046555641,0.015090372349321193,0.9883618046555641,0.012623692892332157,69.4,0.9868973885815417,0.016898644763849145,0.9868973885815417,0.01330867962515975
20.0,0.9871856632077413,0.016017508841126883,0.9871856632077413,0.01648056730326106,1966.0,0.9747756162739302,0.032980151291024364,0.9747756162739302,0.017745472273401976,21.0,0.9891833951798525,0.01404714721861085,0.9891833951798525,0.02045517051732887,0.0,0.9964139525824823,0.004732569647128419,0.9964139525824823,0.005314274166270271,5.62,0.9891902540263207,0.014000622157908928,0.9891902540263207,0.011883334094939024,32.0,0.8705127251991546,0.1382119769091673,0.8705127251991546,0.11031991854292926,23.9,0.9884786659740847,0.014949723349026979,0.9884786659740847,0.012795078618646741,63.1,0.9871972759066759,0.016550563950664062,0.9871972759066759,0.012890310591227087
27.5,0.9873428747621069,0.015843019093516635,0.9873428747621069,0.01592282431175073,887.0,0.9749562213225598,0.03276939606381277,0.9749562213225598,0.01770894456265033,62.0,0.9893882052335004,0.013751831932602664,0.9893882052335004,0.02029046590851843,4.7,0.996354349844993,0.004810774272389056,0.996354349844993,0.005499743466439898,3.69,0.9894763209934823,0.013605155268655167,0.9894763209934823,0.011661688197400162,17.0,0.8705595834921133,0.13817191984605118,0.8705595834921133,0.11088763741499975,20.0,0.9885268107578538,0.014894201061578414,0.9885268107578538,0.012612001786319002,53.7,0.9872589771749719,0.016469705107726176,0.9872589771749719,0.012784272987217335
78.0,0.9872430718254922,0.01597882265228389,0.9872430718254922,0.016136633543741428,2215.0,0.9753393697129709,0.032254155232212346,0.9753393697129709,0.017777284236023025,20.0,0.9895496013630152,0.013534153498453327,0.9895496013630152,0.019846705732615263,0.0,0.9963874905433021,0.004765006008364465,0.9963874905433021,0.005435373312992014,24.63,0.9894312609353918,0.013675351701736537,0.9894312609353918,0.011960283663968101,28.0,0.8707332455239503,0.13807134761191212,0.8707332455239503,0.11125075786502757,34.9,0.9884421437019691,0.015010577245475783,0.9884421437019691,0.01295107697079978,67.8,0.9874106109859596,0.016297837903414387,0.9874106109859596,0.01287755338139653
39.2,0.9872709472529374,0.015944117236708646,0.9872709472529374,0.015770701573065232,799.0,0.9756331069533438,0.03176058977960449,0.9756331069533438,0.016931282960731923,56.0,0.9895496013630152,0.013534153498453327,0.9895496013630152,0.019846705732615263,0.8,0.9963620408462175,0.004795766367798483,0.9963620408462175,0.005527319322861652,4.42,0.9896942196728605,0.013316067359412697,0.9896942196728605,0.011650855895860039,9.0,0.871428152009865,0.13743819624437348,0.871428152009865,0.11090907932106582,20.8,0.9887156702903687,0.014630503798222885,0.9887156702903687,0.012412493270995474,52.5,0.9875558211524607,0.01611277284916175,0.9875558211524607,0.012818052137512565
56.9,0.9873468075428938,0.01584543980402969,0.9873468075428938,0.01569899953036527,1623.0,0.9762034555077949,0.030910538568022478,0.9762034555077949,0.01611551495039613,51.0,0.9895225843293973,0.013567387697681356,0.9895225843293973,0.019863052386485867,5.5,0.9961806899542206,0.005046330009783824,0.9961806899542206,0.005893250196373587,12.85,0.9897757317511187,0.013205749451828761,0.9897757317511187,0.011249986827478286,27.0,0.8724360363346281,0.13632184410476728,0.8724360363346281,0.11046030147001078,30.6,0.9888354307597848,0.01447521999214403,0.9888354307597848,0.01185513555540491,74.5,0.9878164384225375,0.0157487966586482,0.9878164384225375,0.01240573393801614
19.2,0.9873335069150606,0.015861598654203803,0.9873335069150606,0.016189565460016896,2155.0,0.9762446315630733,0.03086089000018617,0.9762446315630733,0.016105051070708865,48.0,0.989676059793949,0.01335493947798525,0.989676059793949,0.01932927274226825,4.7,0.9962702666499618,0.004928665959109767,0.9962702666499618,0.005589126028356893,5.63,0.9897117784981316,0.013291477702897047,0.9897117784981316,0.011619082221728387,36.0,0.8721389257590071,0.13666843393380868,0.8721389257590071,0.11100309186333883,26.3,0.9887156702903687,0.014630503798222885,0.9887156702903687,0.012412493270995474,63.1,0.9877805887389096,0.01579929234362137,0.9877805887389096,0.012603859663132091
