AltitudeVariation,AltitudeVariation_entropy,AltitudeVariation_complexity,AltitudeVariation_fisher,VehicleSpeedInstantaneous,VehicleSpeedInstantaneous_entropy,VehicleSpeedInstantaneous_complexity,VehicleSpeedInstantaneous_fisher,VehicleSpeedAverage,VehicleSpeedAverage_entropy,VehicleSpeedAverage_complexity,VehicleSpeedAverage_fisher,VehicleSpeedVariance,VehicleSpeedVariance_entropy,VehicleSpeedVariance_complexity,VehicleSpeedVariance_fisher,VehicleSpeedVariation,VehicleSpeedVariation_entropy,VehicleSpeedVariation_complexity,VehicleSpeedVariation_fisher,LongitudinalAcceleration,LongitudinalAcceleration_entropy,LongitudinalAcceleration_complexity,LongitudinalAcceleration_fisher,EngineLoad,EngineLoad_entropy,EngineLoad_complexity,EngineLoad_fisher,EngineRPM,EngineRPM_entropy,EngineRPM_complexity,EngineRPM_fisher,MassAirFlow,MassAirFlow_entropy,MassAirFlow_complexity,MassAirFlow_fisher,VerticalAcceleration,VerticalAcceleration_entropy,VerticalAcceleration_complexity,VerticalAcceleration_fisher,FuelConsumptionAverage,FuelConsumptionAverage_entropy,FuelConsumptionAverage_complexity,FuelConsumptionAverage_fisher
-2.2999878,0.7633976449323381,0.2662958917309412,0.7633976449323381,64.85183716,0.6512257212231531,0.3096344815713582,0.6512257212231531,35.70979408,0.3748952250552014,0.2681523758291341,0.3748952250552014,176.0604348,0.4850346210457213,0.303548947363959,0.4850346210457213,0.45036316,0.9399339735634022,0.1024486217699898,0.9399339735634022,-1.15,0.7176434796976379,0.2899417428157538,0.7176434796976379,30.58823586,0.9330142895086464,0.1030349333579523,0.9330142895086464,2062.0,0.7202709796115232,0.2896271575373228,0.7202709796115232,16.80999947,0.9083255973007108,0.1470730270314432,0.9083255973007108,0.547,0.8101461235785443,0.2248854791978806,0.8101461235785443,15.70828915,0.4733325503716339,0.2927961578285442,0.4733325503716339
-1.7999878,0.7633976449323381,0.2662958917309412,0.7633976449323381,65.75255585,0.6497764342723459,0.3100275910426169,0.6497764342723459,37.11341604,0.3737632688379867,0.267589746138749,0.3737632688379867,199.0744401,0.4851004139118912,0.3035872834486738,0.4851004139118912,0.45035553,0.9396021041720816,0.1027351899059251,0.9396021041720816,-1.07,0.7171138691312586,0.2899069843682411,0.7171138691312586,29.80392265,0.9326554790358864,0.1036707850213159,0.9326554790358864,2085.0,0.7189040131442008,0.2902681304785977,0.7189040131442008,16.85000038,0.9083255973007108,0.1470730270314432,0.9083255973007108,0.523,0.8098042357171947,0.2252141081315179,0.8098042357171947,15.53280544,0.4714248497804946,0.2930148081639862,0.4714248497804946
-1.8000488,0.7633976449323381,0.2662958917309412,0.7633976449323381,65.52737427,0.6495359358966803,0.310048629171037,0.6495359358966803,37.80396795,0.3737632688379867,0.267589746138749,0.3737632688379867,209.4005903,0.4851637041187512,0.3036241622190733,0.4851637041187512,-0.22518158,0.9394864390687108,0.1028041438288872,0.9394864390687108,-1.06,0.716370761304384,0.2899644628204607,0.716370761304384,16.86274529,0.933027760049366,0.1031204353104465,0.933027760049366,2097.0,0.718079161570231,0.2902732621434972,0.718079161570231,17.10000038,0.9085410868400682,0.146806692311966,0.9085410868400682,0.5,0.8096074285087399,0.225297158382555,0.8096074285087399,15.45822144,0.4705669458827664,0.2926500758125687,0.4705669458827664
-0.7999878,0.7633976449323381,0.2662958917309412,0.7633976449323381,66.20291901,0.6491008735301853,0.3102964155548118,0.6491008735301853,39.19257794,0.3737632688379867,0.267589746138749,0.3737632688379867,230.0960987,0.485224493983993,0.3036595849160699,0.485224493983993,-0.90071869,0.9393903066148576,0.1028577481472301,0.9393903066148576,-0.941,0.716455684190434,0.2899890125559131,0.716455684190434,8.235294342,0.932668949576606,0.1037562644208086,0.932668949576606,2062.0,0.7180609166465373,0.2902786298250869,0.7180609166465373,14.46000004,0.9084428222247124,0.1469194326117856,0.9084428222247124,0.449,0.8088878889585869,0.2255839918886706,0.8088878889585869,15.27307892,0.4705669458827664,0.2926500758125687,0.4705669458827664
-0.3999634,0.7633976449323381,0.2662958917309412,0.7633976449323381,64.62665558,0.6498325694066674,0.3099357927704441,0.6498325694066674,40.47235088,0.3737632688379867,0.267589746138749,0.3737632688379867,245.5424299,0.4852827857303782,0.3036935527299731,0.4852827857303782,-0.67554474,0.939522229249228,0.1027334809193061,0.939522229249228,-0.758,0.7165359568057805,0.2900122287962333,0.7165359568057805,9.019607544,0.9324744193672292,0.1039371629060351,0.9324744193672292,2018.0,0.7188299891191653,0.2903031890707926,0.7188299891191653,13.53999996,0.9085410868400684,0.146806692311966,0.9085410868400684,0.375,0.8083312010948785,0.2257189519789083,0.8083312010948785,15.08853626,0.4705669458827664,0.2926500758125687,0.4705669458827664
-0.4000244,0.7633976449323381,0.2662958917309412,0.7633976449323381,38.95613861,0.651030081132219,0.3098476760800797,0.651030081132219,45.84664675,0.3737632688379867,0.267589746138749,0.3737632688379867,221.2470817,0.4864063863722153,0.3040347396192494,0.4864063863722153,-6.30503845,0.9391092475592596,0.1032433502196571,0.9391092475592596,0.488,0.7166115892633881,0.2900341126124997,0.7166115892633881,16.47058868,0.9319012594861552,0.1050144973011688,0.9319012594861552,1111.0,0.7194431259374175,0.2903778797360746,0.7194431259374175,11.64000034,0.9080709893579464,0.1473094461680842,0.9080709893579464,-0.203,0.8074965424371023,0.2261370366545369,0.8074965424371023,14.62809563,0.4705669458827664,0.2926500758125687,0.4705669458827664
-0.2000122,0.7632625827494721,0.2663810513191395,0.7632625827494721,33.1014595,0.6516956662267073,0.3100168348589327,0.6516956662267073,45.95923675,0.3737632688379867,0.267589746138749,0.3737632688379867,217.542104,0.4876613088258066,0.3043228135166324,0.4876613088258066,-5.85467911,0.9390402046162908,0.1033319576012482,0.9390402046162908,0.664,0.7166825910581304,0.2900546650173644,0.7166825910581304,20.3921566,0.9319378211177012,0.1049664117838525,0.9319378211177012,1051.0,0.7195939956248462,0.2904205408772368,0.7195939956248462,7.150000095,0.9077881492988248,0.1474343127729687,0.9077881492988248,-0.273,0.8074965424371023,0.2261370366545369,0.8074965424371023,14.55793858,0.4705669458827664,0.2926500758125687,0.4705669458827664
0.0,0.7626894228683982,0.2671150182121569,0.7626894228683982,27.92231941,0.651909961033893,0.3100986400692479,0.651909961033893,45.95173076,0.3747843636810669,0.2681373515495651,0.3747843636810669,217.8139681,0.4891668713712278,0.304445188728717,0.4891668713712278,-5.17914009,0.9388542344471223,0.1036188593879684,0.9388542344471223,0.855,0.7167489710741054,0.2900738869645223,0.7167489710741054,23.13725471,0.93172926636813,0.1051294943929429,0.93172926636813,905.0,0.7197399480330935,0.2904618503246415,0.7197399480330935,7.289999962,0.9079525534147448,0.1473557875817631,0.9079525534147448,-0.316,0.807101126346646,0.2261805815680251,0.807101126346646,14.51581573,0.4695362786030633,0.2922849408281275,0.4695362786030633
-0.1000366,0.7624297411963898,0.2673947778797775,0.7624297411963898,21.61728096,0.6521199715566289,0.3101788605875631,0.6521199715566289,45.85039981,0.3760229809313393,0.2686989389065164,0.3760229809313393,222.1922597,0.4905186479245819,0.3046705921659454,0.4905186479245819,-6.30503845,0.9389618245535796,0.1034407647278973,0.9389618245535796,1.05,0.7161027602959897,0.2900661912496844,0.7161027602959897,24.31372643,0.93172926636813,0.1051294943929429,0.93172926636813,896.0,0.7198810033910537,0.2905018097564755,0.7198810033910537,7.210000038,0.9082465906369906,0.147171571785097,0.9082465906369906,-0.383,0.8061854166190001,0.2267035908951447,0.8061854166190001,14.50015736,0.468281356149472,0.2919803627588906,0.468281356149472
0.2000122,0.7619150130314485,0.2679151197579666,0.7619150130314485,15.08705902,0.6523257194031513,0.3102575012526021,0.6523257194031513,45.62897282,0.3774335064435083,0.2692313149602683,0.3774335064435083,233.0053209,0.4915888500314088,0.3050126615423397,0.4915888500314088,-6.53022194,0.9391752667991564,0.1031840608836672,0.9391752667991564,1.16,0.7152630333116837,0.2901752075001046,0.7152630333116837,24.70588303,0.9313837306982006,0.1054481174516603,0.9313837306982006,881.0,0.7193627065676726,0.290479883153782,0.7193627065676726,6.619999886,0.9086560376722584,0.1468517600741275,0.9086560376722584,-0.41,0.8052661052127689,0.2272245248520891,0.8052661052127689,14.50871086,0.4682631112257784,0.2919772967211596,0.4682631112257784
0.0999756,0.7620474655768644,0.2677531235907127,0.7620474655768644,9.457559586,0.6525272255669466,0.3103345667957449,0.6525272255669466,45.3099678,0.3774936129503657,0.2692724994389271,0.3774936129503657,250.1613631,0.4906807555834425,0.3046848852154201,0.4906807555834425,-5.629499434,0.939217085230322,0.1031238047071981,0.939217085230322,1.19,0.713583292910585,0.2915910227697149,0.713583292910585,23.92156982,0.9314913208046576,0.1052718407632739,0.9314913208046576,872.0,0.7187360676652327,0.2904964108642683,0.7187360676652327,6.639999866,0.9088651970425446,0.1466908632095663,0.9088651970425446,-0.5,0.8043432360530534,0.2277433663183023,0.8043432360530534,14.53755951,0.4687164185159669,0.2919227435444656,0.4687164185159669
0.7999878,0.7633047067473037,0.2669437023460479,0.7633047067473037,5.854679585,0.652724510441671,0.3104100618418355,0.652724510441671,44.90839682,0.3775516328810877,0.2693122544634176,0.3775516328810877,272.3831087,0.4896604365388372,0.3043705343743963,0.4896604365388372,-3.602880001,0.9390770021838007,0.1033062204968423,0.9390770021838007,1.23,0.7119010590726808,0.2929962462655732,0.7119010590726808,24.70588303,0.931602182178792,0.1051246090247905,0.931602182178792,854.0,0.71789099242025,0.2906625461604019,0.71789099242025,6.610000134,0.9087417606617864,0.1468065224557878,0.9087417606617864,-0.539,0.8027606551314246,0.2296386576858366,0.8027606551314246,14.58122158,0.4686675694520859,0.2919333067714391,0.4686675694520859
