ENGINE_LOAD,ENGINE_LOAD_entropy,ENGINE_LOAD_complexity,ENGINE_LOAD_fisher,ENGINE_LOAD_shannon,ENGINE_RPM,ENGINE_RPM_entropy,ENGINE_RPM_complexity,ENGINE_RPM_fisher,ENGINE_RPM_shannon,INTAKE_MANIFOLD_PRESSURE,INTAKE_MANIFOLD_PRESSURE_entropy,INTAKE_MANIFOLD_PRESSURE_complexity,INTAKE_MANIFOLD_PRESSURE_fisher,INTAKE_MANIFOLD_PRESSURE_shannon,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 1_entropy,Short Term Fuel Trim Bank 1_complexity,Short Term Fuel Trim Bank 1_fisher,Short Term Fuel Trim Bank 1_shannon,MAF,MAF_entropy,MAF_complexity,MAF_fisher,MAF_shannon,SPEED,SPEED_entropy,SPEED_complexity,SPEED_fisher,SPEED_shannon,THROTTLE_POS,THROTTLE_POS_entropy,THROTTLE_POS_complexity,THROTTLE_POS_fisher,THROTTLE_POS_shannon,TIMING_ADVANCE,TIMING_ADVANCE_entropy,TIMING_ADVANCE_complexity,TIMING_ADVANCE_fisher,TIMING_ADVANCE_shannon
79.2,0.923961865365152,0.0903720068469667,0.923961865365152,0.1646565996765729,2077.0,0.9437010382394374,0.0719727296369385,0.9437010382394374,0.0623776289836008,62.0,0.9560160416545096,0.0541521668417832,0.9560160416545096,0.0576235377829358,-2.3,0.9841814871481326,0.0215704892374208,0.9841814871481326,0.0374010105448339,24.7,0.9431405742967762,0.0709529379988283,0.9431405742967762,0.0664872784008011,66.0,0.8523727690743842,0.1537362430681965,0.8523727690743842,0.1320820288766689,34.9,0.9418412112827876,0.0753899360899032,0.9418412112827876,0.1214406358973427,67.5,0.9535197222655456,0.0566719244319056,0.9535197222655456,0.0473397704671894
33.7,0.923961865365152,0.0903720068469667,0.923961865365152,0.1646565996765729,1859.0,0.9454616373718444,0.0705670225614502,0.9454616373718444,0.0608962141851359,30.0,0.9540483622914376,0.0557362145142847,0.9540483622914376,0.0554933585199457,6.2,0.9829604348700474,0.0232059750269342,0.9829604348700474,0.0414731633415707,9.34,0.9441324249567704,0.0698599260406893,0.9441324249567704,0.0682682101274517,66.0,0.8523727690743842,0.1537362430681965,0.8523727690743842,0.1320820288766689,27.8,0.9441622743578558,0.0716469635305323,0.9441622743578558,0.1192859956309134,73.7,0.9523817881212836,0.0574411523322462,0.9523817881212836,0.047989970526532
62.7,0.9215679144132332,0.0928795785295075,0.9215679144132332,0.1684983923499333,1649.0,0.9470550159345812,0.0683323056611956,0.9470550159345812,0.0573950654641059,57.0,0.9504411252770608,0.0600408634385031,0.9504411252770608,0.0629374980574814,-4.7,0.9835019562400528,0.0225254105857417,0.9835019562400528,0.0397463169409956,15.16,0.9432185773021132,0.0712063235139876,0.9432185773021132,0.0689385604180455,60.0,0.8573423230270699,0.151138287598495,0.8573423230270699,0.1322277941118463,31.8,0.9441622743578558,0.0716469635305323,0.9441622743578558,0.1167751140173385,68.6,0.9509094510396492,0.0588363685603667,0.9509094510396492,0.0472438726714781
19.6,0.9215679144132332,0.0928795785295075,0.9215679144132332,0.1686633761588789,1617.0,0.9450411574829414,0.0703280949391484,0.9450411574829414,0.0581894510623184,30.0,0.9514329759370548,0.0589268620748884,0.9514329759370548,0.0617758947906202,3.1,0.9822809039619677,0.0241585431866847,0.9822809039619677,0.0428697613689085,3.57,0.9432185773021132,0.0712063235139876,0.9432185773021132,0.0680316361916718,61.0,0.85734232302707,0.151138287598495,0.85734232302707,0.1377936765375429,21.6,0.9434827434497762,0.0725257503772942,0.9434827434497762,0.1194236589246572,72.5,0.9514509724096546,0.058199121015067,0.9514509724096546,0.046533969125012
36.1,0.92316129297597,0.0907459043937493,0.92316129297597,0.1658509887298332,1698.0,0.9433697759148676,0.0723006413072576,0.9433697759148676,0.0642847435576032,20.0,0.9524549837287006,0.0580101911895446,0.9524549837287006,0.0612250363673961,0.0,0.9838742825247044,0.0217525842694485,0.9838742825247044,0.0381084097111046,9.1,0.943760098672119,0.0705818729288461,0.943760098672119,0.0702688161044142,62.0,0.8587196890463956,0.1499614031150924,0.8587196890463956,0.134681974111366,27.8,0.9507531372984088,0.0593684155914032,0.9507531372984088,0.0622937498478017,63.8636053593179,0.9507714415015752,0.0590950946633715,0.9507714415015752,0.0435545364012728
19.6,0.9215679144132332,0.0928795785295068,0.9215679144132332,0.1688168958127004,1155.0,0.9453836343665074,0.0703131151420326,0.9453836343665074,0.0640836897943602,48.0,0.9540483622914376,0.0557362145142847,0.9540483622914376,0.0567544138137501,0.8,0.98441580389471,0.0210705637680644,0.98441580389471,0.0367584073296971,3.71,0.9449329973459524,0.0694562978521722,0.9449329973459524,0.0701493631422922,43.0,0.8571263104836588,0.1518132955327079,0.8571263104836588,0.1307124562390822,19.6,0.9495320850203236,0.0608978871151127,0.9495320850203236,0.0653364974002237,60.0,0.9514079339338896,0.0585520720707734,0.9514079339338896,0.0450452328131144
63.9,0.9224817620678905,0.0915887508974754,0.9224817620678905,0.1665451427762181,1205.0,0.9463754850265016,0.0692164808302741,0.9463754850265016,0.0603569271765251,20.0,0.9550402129514316,0.054613039884999,0.9550402129514316,0.0539345754222887,-2.3,0.98441580389471,0.0210705637680644,0.98441580389471,0.0367584073296971,10.58,0.9440971526966322,0.0702901389912089,0.9440971526966322,0.0689975465283776,35.0,0.8535841951305055,0.1561812416953959,0.8535841951305055,0.1348725945630833,29.0,0.9504459326749805,0.0595316450636917,0.9504459326749805,0.0656331751155664,63.9,0.9504160832738952,0.0596664315691755,0.9504160832738952,0.0493495903609811
32.9,0.9224817620678905,0.0915887508974754,0.9224817620678905,0.1671587903807009,848.0,0.9470550159345812,0.0683323056611956,0.9470550159345812,0.0558955382874969,37.0,0.957175112884174,0.0516815395140589,0.957175112884174,0.0488941083507108,3.1,0.980423359251568,0.0272440481767273,0.980423359251568,0.0474458819350359,3.57,0.9434176217885526,0.0711698346645848,0.9434176217885526,0.068810281492097,16.0,0.8525621873388598,0.1568714341662677,0.8525621873388598,0.1369035203089301,19.6,0.9495320850203234,0.0608978871151127,0.9495320850203234,0.065092540723003,56.5,0.9504160832738952,0.0596664315691755,0.9504160832738952,0.0493495903609811
44.7,0.9237028143459756,0.0901479438076388,0.9237028143459756,0.1656924852420725,807.0,0.9434477789202044,0.0725541969787766,0.9434477789202044,0.0552938686135426,36.0,0.9581669635441682,0.0505501071152686,0.9581669635441682,0.0480101928773897,-2.3,0.978751977683494,0.0293731787750983,0.978751977683494,0.0523657228885926,4.78,0.9464182157717004,0.0665247974103349,0.9464182157717004,0.0595202324615808,20.0,0.8525621873388598,0.1568714341662677,0.8525621873388598,0.1369035203089301,23.1,0.9495320850203234,0.0608978871151127,0.9495320850203234,0.0620446612555063,56.1,0.9480221323219764,0.0623365662233207,0.9480221323219764,0.0539716614006416
19.2,0.92316129297597,0.0907459043937493,0.92316129297597,0.1685003374140277,1142.0,0.9417763973521306,0.0745190478207471,0.9417763973521306,0.0594126313306382,23.0,0.9555817343214372,0.0539703406286419,0.9555817343214372,0.0528884224428111,-0.8,0.977530925405409,0.0309896001369677,0.977530925405409,0.0549800258947816,5.8,0.9494188097548484,0.0618488708847263,0.9494188097548484,0.0582821287932313,23.0,0.8525621873388598,0.1568714341662677,0.8525621873388598,0.1369035203089301,25.9,0.9519260359722422,0.0582193827548744,0.9519260359722422,0.0589704620046336,60.8,0.945051387739914,0.0660523161855915,0.945051387739914,0.0567127225490717
