AltitudeVariation,AltitudeVariation_entropy,AltitudeVariation_complexity,AltitudeVariation_fisher,AltitudeVariation_shannon,VehicleSpeedInstantaneous,VehicleSpeedInstantaneous_entropy,VehicleSpeedInstantaneous_complexity,VehicleSpeedInstantaneous_fisher,VehicleSpeedInstantaneous_shannon,VehicleSpeedAverage,VehicleSpeedAverage_entropy,VehicleSpeedAverage_complexity,VehicleSpeedAverage_fisher,VehicleSpeedAverage_shannon,VehicleSpeedVariance,VehicleSpeedVariance_entropy,VehicleSpeedVariance_complexity,VehicleSpeedVariance_fisher,VehicleSpeedVariance_shannon,VehicleSpeedVariation,VehicleSpeedVariation_entropy,VehicleSpeedVariation_complexity,VehicleSpeedVariation_fisher,VehicleSpeedVariation_shannon,LongitudinalAcceleration,LongitudinalAcceleration_entropy,LongitudinalAcceleration_complexity,LongitudinalAcceleration_fisher,LongitudinalAcceleration_shannon,EngineLoad,EngineLoad_entropy,EngineLoad_complexity,EngineLoad_fisher,EngineLoad_shannon,EngineRPM,EngineRPM_entropy,EngineRPM_complexity,EngineRPM_fisher,EngineRPM_shannon,MassAirFlow,MassAirFlow_entropy,MassAirFlow_complexity,MassAirFlow_fisher,MassAirFlow_shannon,VerticalAcceleration,VerticalAcceleration_entropy,VerticalAcceleration_complexity,VerticalAcceleration_fisher,VerticalAcceleration_shannon,FuelConsumptionAverage,FuelConsumptionAverage_entropy,FuelConsumptionAverage_complexity,FuelConsumptionAverage_fisher,FuelConsumptionAverage_shannon,drivingStyle
-1.40002442,0.8276866550783739,0.166905932368024,0.8276866550783739,0.129700084294684,16.43813896,0.7010112148493145,0.2360161985292102,0.7010112148493145,0.2622657248702551,22.81448622,0.398047927065966,0.2579641859087442,0.398047927065966,0.4234471865722243,96.6224734,0.512129304452956,0.2767234511980208,0.512129304452956,0.446483091713076,-1.35108185,0.9579204511458448,0.0539237348884529,0.9579204511458448,0.0401542383334365,0.9999,0.826446619775763,0.175035068647796,0.826446619775763,0.2278270361717352,25.88235283,0.9606926207765326,0.0470407471286471,0.9606926207765326,0.0379697720008685,1194.0,0.7942062203519173,0.1879393919112183,0.7942062203519173,0.2346278065491345,12.97000027,0.9430862709396594,0.0693620859233959,0.9430862709396594,0.0466836076820348,-0.0352,0.83836039387074,0.1632772325321652,0.83836039387074,0.1318547850476709,14.50905228,0.5359576779311426,0.2771553836301835,0.5359576779311426,0.4135737386939442,EvenPaceStyle
-1.5,0.823284414550936,0.1697550540408517,0.823284414550936,0.1319500339376863,16.66331863,0.6988247039059846,0.2377406372450654,0.6988247039059846,0.2690198017585732,22.69063721,0.3928780258821955,0.2568671872993507,0.3928780258821955,0.4269447848023213,97.22041796,0.5122066105388068,0.2767551883000648,0.5122066105388068,0.4438149943640319,0.22517967,0.9598841636661912,0.05092417434572,0.9598841636661912,0.0329353410604584,0.9452,0.8280449644786334,0.1737682645196104,0.8280449644786334,0.2274476834324308,20.3921566,0.9598389859541232,0.0480141769752708,0.9598389859541232,0.0373295673667619,1216.0,0.7905516769067489,0.1918705078059178,0.7905516769067489,0.2436781164490739,13.13000011,0.9420404337168478,0.0703806652104092,0.9420404337168478,0.04908324873468,-0.0039,0.8387745126438141,0.1631962799209714,0.8387745126438141,0.1314486631567818,14.51869488,0.5293510378735301,0.2778900904206658,0.5293510378735301,0.4172221277568961,EvenPaceStyle
-1.0,0.8271964931739242,0.1669876407683808,0.8271964931739242,0.1300970119323062,26.79641914,0.7025001358039356,0.2364243841703919,0.7025001358039356,0.2663596790766312,21.79742324,0.3943512443596636,0.2576827687853713,0.3943512443596636,0.4293282301425203,96.70550925,0.5175255349044292,0.2771286845688718,0.5175255349044292,0.4305754264264439,4.72878074,0.9598841636661912,0.05092417434572,0.9598841636661912,0.0329353410604584,0.7304,0.8244498602028113,0.1756596691195784,0.8244498602028113,0.2326885919860047,45.09804153,0.9606926207765326,0.0470407471286471,0.9606926207765326,0.0371794167776026,2011.0,0.791089516164587,0.1915236002752044,0.791089516164587,0.2434725684256136,32.88999939,0.9430862709396594,0.0693620859233969,0.9430862709396594,0.0487418143371475,0.1875,0.8356695702724417,0.1650916227177823,0.8356695702724417,0.1307821711796944,14.69508839,0.5250566517012291,0.2774439504388006,0.5250566517012291,0.4259055099633848,AggressiveStyle
-0.5,0.8277706165803348,0.1666365163246997,0.8277706165803348,0.1318134854716741,30.84966087,0.6977357725471544,0.2376372535735138,0.6977357725471544,0.2651551253251473,21.71110424,0.3957698646935959,0.2584680520421838,0.3957698646935959,0.4317222740556426,94.65404885,0.5243529562166276,0.2766415030332948,0.5243529562166276,0.4214254258558571,4.05324173,0.9612868733938909,0.0495828142907929,0.9612868733938909,0.0309440477484997,0.8085,0.8267318193177529,0.1748653008231033,0.8267318193177529,0.2318666174117959,34.11764908,0.9611702513861928,0.0464635791149887,0.9611702513861928,0.0367218830738633,2250.0,0.7879207713987783,0.1925526158097137,0.7879207713987783,0.2429935144665727,39.81999969,0.9404760447748436,0.0720269152587197,0.9404760447748436,0.0485512801905094,0.1523,0.8356695702724417,0.1650916227177827,0.8356695702724417,0.1277190609214728,14.73167038,0.5253205070748591,0.2775474413275255,0.5253205070748591,0.4229472423944292,AggressiveStyle
-0.39996338,0.8232544691686751,0.1702184445764279,0.8232544691686751,0.1363636774860515,32.87627792,0.6940777336832613,0.2380744410447824,0.6940777336832613,0.2636312296226819,21.64730324,0.3971345153277985,0.2592233904781443,0.3971345153277985,0.4341266701284365,92.95268967,0.5243529562166276,0.2766415030332948,0.5243529562166276,0.4214254258558571,2.02661705,0.9612868733938909,0.0495828142907929,0.9612868733938909,0.0312582479060544,0.6835,0.8316947650972261,0.1712108202844554,0.8316947650972261,0.2242729816731567,83.92156982,0.9609154191995162,0.0467816754152468,0.9609154191995162,0.0355503691415976,2040.0,0.7908915823018033,0.1916609789174758,0.7908915823018033,0.2392314254425634,22.55999947,0.9399235372947846,0.0727137833991798,0.9399235372947846,0.0486519495089644,0.0625,0.8365785239529494,0.1644071934719816,0.8365785239529494,0.1277209186232837,14.75466633,0.5255314518772152,0.2776301859203259,0.5255314518772152,0.4200010640472635,AggressiveStyle
-0.59997558,0.8241081039910849,0.1695232795996602,0.8241081039910849,0.1353590000824526,34.45253754,0.6940777336832613,0.2380744410447824,0.6940777336832613,0.2636312296226819,21.62478514,0.3984457894569296,0.2599491182223501,0.3984457894569296,0.4365411864206268,92.33476097,0.5243529562166276,0.2766415030332948,0.5243529562166276,0.4214254258558571,1.57625962,0.9598841636661912,0.0509241743457204,0.9598841636661912,0.0323661685962927,0.6406,0.8338889128272949,0.170400453214774,0.8338889128272949,0.2191172300186771,70.98039246,0.960004956915555,0.0480214584737294,0.960004956915555,0.0365045172142088,1516.0,0.7938268362600825,0.1907581651762195,0.7938268362600825,0.2405755111675019,21.46999931,0.9396595649331484,0.0729238331992797,0.9396595649331484,0.0473561261471538,0.1211,0.8359797213172163,0.1648862810768824,0.8359797213172163,0.1316442980193036,14.79027081,0.5256895792778961,0.2776922163402229,0.5256895792778961,0.4170669229833143,AggressiveStyle
-0.90002441,0.8257064486939553,0.1682512796844077,0.8257064486939553,0.131276855831122,38.28059769,0.6940777336832613,0.2380744410447824,0.6940777336832613,0.2636312296226819,21.68483312,0.405059502577326,0.2617880718532482,0.405059502577326,0.4348547216461014,94.14528064,0.5296199714846132,0.2768684644135155,0.5296199714846132,0.4191665858106617,3.82806015,0.9592085991937472,0.0517123975260157,0.9592085991937472,0.0326169554217749,0.621,0.8338889128272949,0.170400453214774,0.8338889128272949,0.2191172300186771,45.88235474,0.9597821584925716,0.0482799763649063,0.9597821584925716,0.0359763812445841,1662.0,0.7963859021268664,0.1900577533080421,0.7963859021268664,0.2413502796524883,24.21999931,0.9396595649331484,0.0729238331992797,0.9396595649331484,0.0464131262435528,0.1367,0.8388421312092971,0.1634720587687436,0.8388421312092971,0.1330334212606604,14.83039474,0.5257949589390235,0.277733556624154,0.5257949589390235,0.4141447773836652,EvenPaceStyle
-1.2000122,0.8226215210242646,0.1696381250164262,0.8226215210242646,0.13338485515533,40.53239822,0.6940777336832613,0.2380744410447824,0.6940777336832613,0.2636312296226819,21.81994111,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,98.19213731,0.5340533162515486,0.2773266993906928,0.5340533162515486,0.4161474999194579,2.25180053,0.9592085991937472,0.0517123975260157,0.9592085991937472,0.0326169554217749,0.5117,0.8338889128272949,0.170400453214774,0.8338889128272949,0.2191172300186771,37.25490189,0.9588430322925386,0.0490146930908075,0.9588430322925386,0.0365772415306964,1745.0,0.8002210744603084,0.18833309163935,0.8002210744603084,0.2408550775977183,24.72999954,0.9405986911331816,0.0722296366580759,0.9405986911331816,0.0475096611497403,0.0977,0.8416564885285936,0.16205271868237,0.8416564885285936,0.1334983760836275,14.8713665,0.5258476371999986,0.2777542227704673,0.5258476371999986,0.4112345954220261,EvenPaceStyle
-1.0,0.8210390788696066,0.1712711866248104,0.8210390788696066,0.1376719454374656,42.10865784,0.6940777336832613,0.2380744410447824,0.6940777336832613,0.2636312296226819,22.01134412,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,103.8177994,0.5339737016765174,0.2772964196994288,0.5339737016765174,0.4134204972296246,1.57625962,0.9586560917136884,0.0524263257668531,0.9586560917136884,0.0324185541875926,0.4101,0.8338889128272949,0.170400453214774,0.8338889128272949,0.2191172300186771,37.64706039,0.9606052068741556,0.0472798519449547,0.9606052068741556,0.0371377716928938,1808.0,0.8002210744603084,0.18833309163935,0.8002210744603084,0.2408550775977183,26.12999916,0.9405986911331816,0.0722296366580759,0.9405986911331816,0.0475096611497403,0.1367,0.8431657534482877,0.1606135931899775,0.8431657534482877,0.1326608940991721,14.91014004,0.5199765531433413,0.2777484297833648,0.5199765531433413,0.4133784977399588,EvenPaceStyle
-0.60003662,0.8177244408194925,0.1752385748853813,0.8177244408194925,0.1495880367902175,43.23456192,0.6940777336832613,0.2380744410447824,0.6940777336832613,0.2636312296226819,22.26654816,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,110.7936909,0.5338409712640503,0.277245940597575,0.5338409712640503,0.4107044506334453,1.12590408,0.9577475519544812,0.0531831159753201,0.9577475519544812,0.0323367428915214,0.3671,0.8295744836847299,0.1732547709753257,0.8295744836847299,0.2227821641624934,32.15686417,0.9633675603335295,0.0439685898913007,0.9633675603335295,0.0361549465279325,1860.0,0.8002210744603084,0.18833309163935,0.8002210744603084,0.2408550775977183,26.86000061,0.9405986911331816,0.0722296366580759,0.9405986911331816,0.0475096611497403,0.2266,0.8402930872474337,0.1636568354949661,0.8402930872474337,0.1370348408566034,14.94994831,0.5157882054088131,0.2770912199606408,0.5157882054088131,0.4123945274985235,EvenPaceStyle
-0.69995118,0.8164237714100041,0.1761899909459856,0.8164237714100041,0.1505907335802519,44.13527679,0.6940777336832613,0.2380744410447824,0.6940777336832613,0.2636312296226819,22.57429413,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,118.6067726,0.5336550657220239,0.2771752426342458,0.5336550657220239,0.4079993967070512,0.90071487,0.9574329252216576,0.0534055838418241,0.9574329252216576,0.0319600426907097,0.2656,0.8271740530613358,0.1741614976018265,0.8271740530613358,0.2244275865774191,31.76470566,0.9630096055296276,0.0444932879664655,0.9630096055296276,0.0356520287377897,1905.0,0.7966835774202486,0.1897846785306375,0.7966835774202486,0.2397634259852331,28.02000046,0.9405986911331816,0.0722296366580759,0.9405986911331816,0.0475096611497403,0.2656,0.8384457269694413,0.1644356453890432,0.8384457269694413,0.1391429044968686,14.99144173,0.5157882054088131,0.2770912199606408,0.5157882054088131,0.4123945274985235,EvenPaceStyle
-0.90002442,0.8197635312663716,0.1746204073130434,0.8197635312663716,0.1480369350678417,45.9367218,0.6940777336832613,0.2380744410447824,0.6940777336832613,0.2636312296226819,22.93833517,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,127.6837417,0.528285705107858,0.2769454797858171,0.528285705107858,0.4075340587564174,1.80144501,0.9576877574083348,0.0530904931708407,0.9576877574083348,0.0319802640328413,0.1445,0.8221677437452264,0.1777720075128658,0.8221677437452264,0.2331442808861641,6.666666985,0.9609660859538426,0.0464233880462257,0.9609660859538426,0.0357340923700335,1936.0,0.792811366392584,0.1914879904474853,0.792811366392584,0.2441819483235092,26.62999916,0.9405986911331816,0.0722296366580759,0.9405986911331816,0.0475096611497403,0.1641,0.832864567505438,0.172811107122891,0.832864567505438,0.2289867011641043,15.02769661,0.5112764172948063,0.2764577759471458,0.5112764172948063,0.4209163374217888,EvenPaceStyle
-1.10003662,0.8197635312663716,0.1746204073130434,0.8197635312663716,0.1480369350678417,44.81082153,0.6975378386843708,0.2377332672890512,0.6975378386843708,0.2584590262664223,23.33240023,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,135.5812079,0.5236987892750047,0.2763844516736571,0.5236987892750047,0.407839350020391,-1.12590027,0.959808038820831,0.050338208044723,0.959808038820831,0.0304320782362029,0.0703,0.8137244550345161,0.1869638009023489,0.8137244550345161,0.2271017010000013,5.882352829,0.9590927127948125,0.0480790789623927,0.9590927127948125,0.0373678580839778,1897.0,0.7938268362600824,0.1907581651762188,0.7938268362600824,0.2444853987360032,23.11000061,0.9405986911331816,0.0722296366580759,0.9405986911331816,0.0475096611497403,0.1484,0.8324438352196709,0.1731527287600478,0.8324438352196709,0.2250605701230253,15.0290947,0.504397833908298,0.2767303867964081,0.504397833908298,0.4254116407391934,EvenPaceStyle
-0.5,0.8241657717938095,0.1718172929733835,0.8241657717938095,0.1453086423148379,40.98275757,0.7023022019411519,0.2365223130617917,0.7023022019411519,0.2581914292205155,24.18808413,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,144.9183347,0.5236987892750047,0.2763844516736571,0.5236987892750047,0.407839350020391,-2.02661896,0.9594681334257764,0.0506746513048413,0.9594681334257764,0.0293415701486875,-0.0312,0.8096877188255132,0.1891159735789997,0.8096877188255132,0.2304864319461685,12.94117641,0.9590927127948125,0.0480790789623927,0.9590927127948125,0.0390809209589594,1784.0,0.7938268362600825,0.1907581651762195,0.7938268362600825,0.2405755111675019,18.48999977,0.938898927252327,0.073695248478776,0.938898927252327,0.0472453970323979,0.1016,0.8298522763233578,0.1743207121747677,0.8298522763233578,0.2283140710899599,15.01266575,0.5111991112089556,0.2764259895970977,0.5111991112089556,0.4197869582492232,EvenPaceStyle
0.0,0.8237897675810602,0.172095516277936,0.8237897675810602,0.144469672315599,41.20793915,0.7057080198768653,0.2361335865155664,0.7057080198768653,0.2596237765318345,24.67972713,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,146.9429808,0.5236987892750047,0.2763844516736571,0.5236987892750047,0.407839350020391,0.22518158,0.9576877574083348,0.0530904931708407,0.9576877574083348,0.0319802640328413,0.0273,0.8111532622534978,0.1885739915256851,0.8111532622534978,0.2327048827042694,14.11764717,0.9602054482730208,0.0472359335474196,0.9602054482730208,0.0388370716863539,1750.0,0.7945385418488737,0.1906958592182305,0.7945385418488737,0.2434692993146925,17.36000061,0.9342163340988716,0.0798157966338203,0.9342163340988716,0.0534283602231768,0.0273,0.8274105987170443,0.1753333110700185,0.8274105987170443,0.2334237869822356,15.02292824,0.5204383095368517,0.2742423842117996,0.5204383095368517,0.4178044679296394,EvenPaceStyle
0.5,0.8216025019080131,0.1730576777922995,0.8216025019080131,0.1422955256535959,38.95613861,0.7067612701132506,0.2351414136540368,0.7067612701132506,0.2552251849192495,25.19388811,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,145.4731791,0.5232496078272909,0.2765491996218359,0.5232496078272909,0.4006362784347845,-2.25180054,0.959808038820831,0.050338208044723,0.959808038820831,0.0304320782362029,-0.0078,0.8122065124898831,0.1872736444897698,0.8122065124898831,0.2326857021083442,0.0,0.9613387089799652,0.0457356901360868,0.9613387089799652,0.0357796358952316,1674.0,0.7922973973613837,0.1915469078995316,0.7922973973613837,0.2499222840584496,17.04999924,0.9335158869819852,0.0802625006257903,0.9335158869819852,0.0536869274766374,-0.0195,0.8235909388055919,0.1775847957603586,0.8235909388055919,0.2363739566783483,15.0420084,0.5271861162740188,0.2736434603442033,0.5271861162740188,0.410512492294257,EvenPaceStyle
2.39996338,0.8216025019080131,0.1730576777922995,0.8216025019080131,0.1422955256535959,25.4453373,0.7045747591699207,0.2368947940786419,0.7045747591699207,0.2531986311329768,26.76639506,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,116.4957586,0.5243028580636763,0.2761083928295061,0.5243028580636763,0.4064068844840789,-7.20576286,0.9594681334257764,0.0506746513048413,0.9594681334257764,0.0293415701486875,0.496,0.8127443517477211,0.1869071433509335,0.8127443517477211,0.2351913533239029,34.11764908,0.9623541788474635,0.0446018996057098,0.9623541788474635,0.0359054448267557,1207.0,0.7866893211444735,0.1960714597018725,0.7866893211444735,0.2598181017603131,12.63000011,0.9313068479374108,0.0821380157360371,0.9313068479374108,0.0531354325788194,-0.3047,0.8215451070752089,0.1782652111514792,0.8215451070752089,0.2382700509521852,15.01070881,0.5339065722598462,0.2729281031880859,0.5339065722598462,0.4037259912336917,EvenPaceStyle
2.60003662,0.8216025019080131,0.1730576777922995,0.8216025019080131,0.1422955256535959,19.5906601,0.7018097895559308,0.2375905157563305,0.7018097895559308,0.2542678841058949,27.09290606,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,105.1170247,0.5243028580636763,0.2761083928295061,0.5243028580636763,0.4064068844840789,-5.8546772,0.9598888657115436,0.0502022865648819,0.9598888657115436,0.029060968698706,0.7108,0.8152718230370302,0.1860599786606438,0.8152718230370302,0.2334287903239843,19.2156868,0.9636457080819928,0.0433312574489988,0.9636457080819928,0.0350485649546384,941.0,0.7836695193438068,0.1974032389132705,0.7836695193438068,0.2613336702880418,9.199999809,0.930035961837814,0.0829919752645163,0.930035961837814,0.0517776925849467,-0.4687,0.8211538717748963,0.1783228799552372,0.8211538717748963,0.2414067124927256,14.99653339,0.5335486174559443,0.2730448767679495,0.5335486174559443,0.3952112288028612,EvenPaceStyle
2.7999878,0.8216025019080131,0.1730576777922995,0.8216025019080131,0.1422955256535959,15.53741932,0.7027942043167693,0.2376806895061784,0.7027942043167693,0.2568110078032402,27.35186305,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,94.87092626,0.5243028580636763,0.2761083928295061,0.5243028580636763,0.4064068844840789,-4.05324078,0.9610617917536872,0.0490353483313263,0.9610617917536872,0.0306016999162843,0.992,0.8159822535982286,0.1859552038385554,0.8159822535982286,0.2301331637709797,21.17647171,0.9646189478478192,0.0421296563779205,0.9646189478478192,0.0344244755885007,893.0,0.7841378268778932,0.1973759790512304,0.7841378268778932,0.2642428223816639,9.050000191,0.928153143003308,0.0843906447539654,0.928153143003308,0.0529812542863328,-0.5781,0.818710077614866,0.1792000279117591,0.818710077614866,0.2469739470215423,15.02325249,0.5335486174559442,0.2730448767679494,0.5335486174559442,0.3978140639824417,EvenPaceStyle
2.5,0.8226483391308246,0.1723213095247143,0.8226483391308246,0.1436101912172069,5.179140091,0.7037023474038527,0.2377646209906733,0.7037023474038527,0.2593818958373223,27.43818205,0.4125859799497381,0.2633305496841024,0.4125859799497381,0.4314570582465534,90.51598004,0.5195936236995801,0.2757179621274875,0.5195936236995801,0.409341673043158,-10.35827923,0.9623624611631754,0.0476516675607968,0.9623624611631754,0.0301071702134991,1.0584,0.8165890401415241,0.1858665662153514,0.8165890401415241,0.2268873720163214,24.70588303,0.9651714553278778,0.0414050177904983,0.9651714553278778,0.032376136535343,865.0,0.7845202549699385,0.1973539465237811,0.7845202549699385,0.2671805026474107,8.260000229,0.924616753891435,0.0878757107253128,0.924616753891435,0.0553726444237286,-0.6367,0.8153703177584986,0.1807470712987842,0.8153703177584986,0.252651280813989,15.08062267,0.533250942162562,0.2731228701234218,0.533250942162562,0.4064885314249212,EvenPaceStyle
