ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
84.0,100.0,2201.0,22.0,-5.5,38.91,68.0,62.7,60.8,0.7256061656582078,0.3547842096104295,0.7256061656582078
84.0,87.5,1863.0,77.0,-0.8,23.53,68.0,35.3,66.7,0.7294559529165832,0.35295246267246555,0.7294559529165832
84.0,65.9,1845.0,54.0,-3.9,16.06,66.0,31.8,67.8,0.7308712787201047,0.3522107261580098,0.7308712787201047
84.0,69.0,1836.0,55.0,-4.7,18.71,71.0,32.5,67.8,0.7322702746232995,0.3518063864539866,0.7322702746232995
84.0,68.6,1980.0,52.0,-3.1,20.36,76.0,33.3,67.8,0.733807773127637,0.3515776249821404,0.733807773127637
84.0,32.9,2061.0,18.0,0.0,6.44,70.0,22.7,69.8,0.7360954388385602,0.35083867313052397,0.7360954388385602
84.0,34.1,894.0,33.0,-5.5,3.87,62.0,19.6,62.4,0.7362700310070768,0.3505233389279898,0.7362700310070768
84.0,46.7,916.0,46.0,3.9,6.98,56.0,26.7,63.9,0.7356444357836764,0.3505602269930274,0.7356444357836764
84.0,60.0,1912.0,52.0,-5.5,17.0,59.0,32.2,69.0,0.7355858589242737,0.3505605461995665,0.7355858589242737
84.0,51.4,1987.0,50.0,-3.1,15.01,60.0,31.4,70.2,0.7342089025876906,0.3507817020990412,0.7342089025876906
83.0,60.0,2030.0,50.0,-1.6,17.69,63.0,32.5,69.0,0.7333655487937859,0.35061323004471284,0.7333655487937859
83.0,52.5,2103.0,19.0,0.0,16.36,62.0,31.8,70.2,0.7329119779040778,0.3505853902345181,0.7329119779040778
83.0,17.3,1653.0,30.0,10.2,3.74,27.0,20.4,66.7,0.7372516080478191,0.34646660702570825,0.7372516080478191
83.0,39.6,903.0,64.0,4.7,5.77,30.0,26.3,55.3,0.7351899176188337,0.347721561896757,0.7351899176188337
83.0,81.2,1679.0,66.0,0.0,20.14,42.0,33.7,65.9,0.7347559110981522,0.347212708387792,0.7347559110981522
83.0,50.2,1405.0,55.0,3.9,10.45,46.0,29.0,68.2,0.734644471184135,0.3472895767299956,0.734644471184135
83.0,61.6,1617.0,39.0,-3.1,14.88,56.0,31.4,68.6,0.7334263898271677,0.34743730659889394,0.7334263898271677
83.0,46.7,1932.0,45.0,3.1,13.21,61.0,30.6,71.0,0.7294901643221146,0.3495877722403757,0.7294901643221146
83.0,31.0,1943.0,32.0,7.0,5.38,60.0,22.7,69.8,0.731808714046476,0.3478778832431161,0.731808714046476
83.0,34.5,809.0,35.0,3.9,3.95,53.0,20.0,58.0,0.7307716114067729,0.3483714505753193,0.7307716114067729
83.0,38.8,798.0,32.0,1.6,4.02,34.0,20.4,55.7,0.7274961007502286,0.348988766973211,0.7274961007502286
