ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
82.0,37.3,829.0,40.0,-6.2,4.26,8.0,20.4,51.4,0.7262203886791874,0.3585322310772062,0.7262203886791874
82.0,42.7,1582.0,53.0,0.8,10.12,17.0,28.6,71.8,0.7280670804796632,0.3581994239183697,0.7280670804796632
82.0,18.8,1671.0,84.0,6.2,17.54,33.67127381397086,32.2,62.7,0.732427058308918,0.35480042332705236,0.732427058308918
82.0,100.0,3021.0,64.0,0.8,50.22,43.0,42.0,65.5,0.737313072182049,0.35089395490189573,0.737313072182049
82.0,100.0,2302.0,76.0,-5.5,35.65,55.0,38.4,64.7,0.7396708925563547,0.34975931345548883,0.7396708925563547
83.0,62.4,2739.0,68.0,-1.6,26.1,60.0,34.9,72.5,0.7403849619101449,0.3492940765837606,0.7403849619101449
83.0,18.4,2404.0,78.0,5.5,6.41,63.0,30.6,63.5,0.7410639263779518,0.3495075289989092,0.7410639263779518
83.0,100.0,2133.0,73.0,-6.2,32.09,66.0,37.6,64.3,0.742002468463619,0.34928857568452903,0.742002468463619
83.0,52.9,2214.0,59.0,-4.7,6.94,64.0,24.3,68.2,0.7418534632780365,0.34981221271823754,0.7418534632780365
84.0,72.9,2166.0,34.0,-3.1,22.95,67.0,34.1,68.6,0.742195696594643,0.34944622891186644,0.742195696594643
84.0,52.5,2293.0,19.0,3.1,17.96,65.0,32.5,72.2,0.742548649122078,0.34876054780494903,0.742548649122078
84.0,19.2,2094.0,19.0,3.9,5.99,60.0,23.9,63.5,0.7421342837416168,0.34880921570397433,0.7421342837416168
83.0,19.2,1910.0,69.0,3.1,5.13,54.0,23.1,63.5,0.7427222949842804,0.3489354681040332,0.7427222949842804
83.0,90.2,1828.0,47.0,6.2,23.74,57.0,34.9,65.5,0.7446083511833389,0.3471510079730449,0.7446083511833389
83.0,62.0,1893.0,49.0,0.8,8.95,57.0,24.7,68.6,0.7446455720067017,0.3470124717525217,0.7446455720067017
83.0,62.0,1903.0,61.0,1.6,17.38,60.0,32.5,69.0,0.7444364811882442,0.34687994635809233,0.7444364811882442
83.0,74.9,2033.0,61.0,2.3,22.33,64.0,34.1,67.8,0.7400324633247501,0.35142781487398383,0.7400324633247501
83.0,18.4,2125.0,44.0,3.1,11.66,64.0,31.4,76.5,0.7405168218599216,0.35162324953288016,0.7405168218599216
83.0,18.4,2095.0,20.0,0.0,5.85,51.0,23.9,71.8,0.74056975654663,0.35172449913262616,0.74056975654663
83.0,18.0,1490.0,31.0,3.9,3.8,18.0,20.8,62.7,0.7429310772280596,0.35024817706734496,0.7429310772280596
83.0,42.7,764.0,56.0,-1.6,4.49,22.0,20.8,58.4,0.74232003438857,0.35056204754132375,0.74232003438857
83.0,92.2,2249.0,20.0,-2.3,31.18,37.0,36.9,66.7,0.7442118998673923,0.349199394445657,0.7442118998673923
83.0,59.2,2160.0,66.0,7.0,17.34,45.0,31.8,71.4,0.7438743527043647,0.3494130498680875,0.7438743527043647
83.0,81.6,2360.0,52.0,3.1,21.61,53.0,32.5,68.2,0.7428793112917182,0.34967269284550495,0.7428793112917182
83.0,66.7,1883.0,34.0,-3.1,18.49,62.0,32.5,68.6,0.7409318476279504,0.350146228257734,0.7409318476279504
83.0,63.9,2125.0,43.0,2.3,20.02,67.0,33.3,69.0,0.7385376692740557,0.3508947789183494,0.7385376692740557
