ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
83.0,17.6,1744.0,19.0,0.0,4.73,46.0,22.4,63.1,0.7073443300369087,0.3653395965180216,0.7073443300369087
83.0,17.6,1414.0,30.0,7.0,3.58,33.0,19.2,61.2,0.709908270814117,0.3641486180751052,0.709908270814117
83.0,38.8,793.0,34.0,-1.6,4.13,7.0,20.4,55.7,0.7101885171445802,0.3641439846334483,0.7101885171445802
83.0,39.2,788.0,33.0,2.3,4.44,0.0,20.8,50.2,0.7124455973223676,0.3629794314053721,0.7124455973223676
83.0,36.9,806.0,32.0,4.7,4.04,0.0,20.4,55.3,0.7156457113136573,0.3608105461933119,0.7156457113136573
83.0,35.3,795.0,31.0,7.0,4.0,0.0,20.8,56.1,0.717864329941639,0.3595954208602415,0.717864329941639
83.0,41.6,775.0,36.0,-0.8,4.61,0.0,20.8,53.7,0.7164385810334013,0.3599877780061907,0.7164385810334013
83.0,41.6,802.0,33.0,2.3,4.61,0.0,20.8,52.9,0.718300292129785,0.3593296188920619,0.718300292129785
83.0,40.4,800.0,35.0,1.6,4.35,0.0,20.8,52.2,0.7195298065023614,0.3588154121715622,0.7195298065023614
83.0,40.8,770.0,32.0,-3.1,4.51,0.0,20.8,54.1,0.71687281522934,0.3599006753050653,0.71687281522934
83.0,41.6,784.0,52.0,-3.1,4.59,4.0,20.8,55.7,0.7149436282427128,0.3620602463424404,0.7149436282427128
83.0,87.5,1512.0,75.0,0.0,23.04,22.0,35.3,55.7,0.7151158744311576,0.3620802951218431,0.7151158744311576
83.0,93.7,2271.0,20.0,-5.5,32.26,35.0,37.3,65.9,0.7168570962321165,0.3611379868794793,0.7168570962321165
83.0,74.9,1802.0,55.0,-0.8,20.3,43.0,33.3,66.3,0.7173653271065809,0.3608495763396711,0.7173653271065809
83.0,65.1,2227.0,30.0,-7.8,21.43,47.0,33.7,69.0,0.717127586531845,0.3607860718095454,0.717127586531845
83.0,18.0,2254.0,35.0,0.0,6.1,41.0,24.3,67.5,0.7180602873911408,0.360801409746153,0.7180602873911408
83.0,17.3,1951.0,78.0,0.0,5.17,37.0,22.7,76.5,0.7191787241625216,0.3600738760067253,0.7191787241625216
83.0,98.4,1937.0,69.0,5.5,28.56,46.0,36.9,63.5,0.7186622365278489,0.3598958736908106,0.7186622365278489
83.0,86.3,2410.0,56.0,-7.0,27.71,55.0,35.7,67.8,0.7182307968721753,0.3598422033409275,0.7182307968721753
83.0,63.5,2746.0,46.0,-7.0,22.77,59.0,33.7,70.2,0.7172246893892078,0.3598406954363111,0.7172246893892078
83.0,24.3,2895.0,19.0,3.9,7.79,57.0,26.7,76.5,0.7174993571725538,0.3598991696436334,0.7174993571725538
83.0,63.1,1535.0,39.0,7.8,14.43,56.0,31.4,68.2,0.7174766552835009,0.3598311583781527,0.7174766552835009
84.0,46.7,1547.0,44.0,0.0,10.7,57.0,29.0,70.2,0.7159757043477805,0.3602270267602271,0.7159757043477805
84.0,59.6,1562.0,50.0,4.7,13.52,59.0,31.0,68.2,0.7134399334779773,0.361470641113045,0.7134399334779773
84.0,58.8,1623.0,47.0,-3.1,14.27,61.0,31.0,68.6,0.7127604041737514,0.3616079003628474,0.7127604041737514
84.0,51.8,1690.0,37.0,0.8,12.61,62.0,30.2,69.8,0.7109809666102019,0.3630709753893572,0.7109809666102019
83.0,43.5,1694.0,20.0,-0.8,10.48,61.0,29.0,71.8,0.7088163588600681,0.3636242775732201,0.7088163588600681
83.0,18.4,1638.0,21.0,0.0,4.2,52.0,21.6,63.1,0.70438667197577,0.3676191731172002,0.70438667197577
83.0,19.2,1324.0,20.0,1.6,3.56,41.0,20.4,60.0,0.701949477168709,0.3685689816360027,0.701949477168709
83.0,22.0,1100.0,65.0,6.2,3.54,40.0,18.8,56.9,0.7066384683808167,0.3643620650857541,0.7066384683808167
