ENGINE_LOAD,ENGINE_LOAD_entropy,ENGINE_LOAD_complexity,ENGINE_LOAD_fisher,ENGINE_RPM,ENGINE_RPM_entropy,ENGINE_RPM_complexity,ENGINE_RPM_fisher,INTAKE_MANIFOLD_PRESSURE,INTAKE_MANIFOLD_PRESSURE_entropy,INTAKE_MANIFOLD_PRESSURE_complexity,INTAKE_MANIFOLD_PRESSURE_fisher,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 1_entropy,Short Term Fuel Trim Bank 1_complexity,Short Term Fuel Trim Bank 1_fisher,MAF,MAF_entropy,MAF_complexity,MAF_fisher,SPEED,SPEED_entropy,SPEED_complexity,SPEED_fisher,THROTTLE_POS,THROTTLE_POS_entropy,THROTTLE_POS_complexity,THROTTLE_POS_fisher,TIMING_ADVANCE,TIMING_ADVANCE_entropy,TIMING_ADVANCE_complexity,TIMING_ADVANCE_fisher
51.0,0.9729757355258356,0.0311440424216927,0.9729757355258356,1644.0,0.9374862892440904,0.0737722131521509,0.9374862892440904,49.0,0.952473803571687,0.0559499476413088,0.952473803571687,-3.1,0.9684993472248892,0.037240697349237,0.9684993472248892,12.6,0.97543446121243,0.0302796717784322,0.97543446121243,48.0,0.7237330955418536,0.2114230630036561,0.7237330955418536,30.2,0.945317276349665,0.0609181649832702,0.945317276349665,69.4,0.951075351571087,0.0562106644488761,0.951075351571087
60.0,0.973410390417088,0.0307564874278256,0.973410390417088,1600.0,0.9376741682203624,0.0736622903917968,0.9376741682203624,40.0,0.9523329467710264,0.0561454163619584,0.9523329467710264,-3.1,0.9681234189529174,0.0377570911267291,0.9681234189529174,13.91,0.9754155821529844,0.0302979873674935,0.9754155821529844,48.0,0.724224418237162,0.2114194255448779,0.724224418237162,31.0,0.944959957780874,0.0613659838947771,0.944959957780874,68.2,0.951584646023447,0.0554632759881399,0.951584646023447
13.7,0.9734703374760304,0.030670117563882,0.9734703374760304,1605.0,0.937559526245654,0.0737771143707089,0.937559526245654,20.0,0.9521777165237024,0.0563699195447189,0.9521777165237024,0.0,0.9679289939573568,0.0379667518139669,0.9679289939573568,3.76,0.9753999054790364,0.0303182118762301,0.9753999054790364,35.0,0.7256386951754245,0.2108446918750985,0.7256386951754245,21.6,0.9450720272490658,0.0612374272291615,0.9450720272490658,74.9,0.9514106485244772,0.0557005351690126,0.9514106485244772
21.2,0.9733633895028616,0.0308431314801194,0.9733633895028616,1120.0,0.937614462533586,0.0737064306211689,0.937614462533586,53.0,0.9523673906966196,0.0561132766287297,0.9523673906966196,-5.5,0.9682780402307324,0.0376799880600232,0.9682780402307324,3.58,0.9750280265578164,0.030783026376872,0.9750280265578164,36.0,0.7257293752223789,0.2107900495245918,0.7257293752223789,18.8,0.944972498159636,0.0613524796842341,0.944972498159636,57.3,0.9515853452818251,0.0554834989166623,0.9515853452818251
58.0,0.973292446405702,0.0309299403530378,0.973292446405702,1257.0,0.937559526245654,0.0737771143707089,0.937559526245654,34.0,0.95274638655289,0.0556378748575913,0.95274638655289,3.1,0.9681818969913236,0.0378037765705375,0.9681818969913236,10.12,0.9752490162097598,0.0305309717820269,0.9752490162097598,40.0,0.7256010482017198,0.2108733259118133,0.7256010482017198,24.7,0.9452460247480357,0.0610029040370505,0.9452460247480357,64.7,0.9518197477259498,0.0552202757575817,0.9518197477259498
40.4,0.973068245656678,0.0312130170904121,0.973068245656678,1396.0,0.9377649793818464,0.073583953790337,0.9377649793818464,34.0,0.9529807889970144,0.0553743352700222,0.9529807889970144,3.1,0.968067462893558,0.0379525882653311,0.968067462893558,8.09,0.9752652737622268,0.0305096270539682,0.9752652737622268,46.0,0.7251112440337644,0.2108780559782747,0.7251112440337644,26.7,0.9449021270065514,0.0614254119756907,0.9449021270065514,69.4,0.9516639296959628,0.0553865982969935,0.9516639296959628
38.0,0.9729205717834792,0.0313887376256047,0.9729205717834792,1582.0,0.9375771004055744,0.0736939057520721,0.9375771004055744,31.0,0.9530556800474284,0.0552737043559571,0.9530556800474284,-2.3,0.9682424238293176,0.0377373175000129,0.9682424238293176,8.99,0.9753999054790364,0.0303182118762301,0.9753999054790364,52.0,0.7241902418068811,0.2110374652511194,0.7241902418068811,27.5,0.9442600273336176,0.0619951061372816,0.9442600273336176,72.2,0.9510407169402312,0.0559264675640874,0.9510407169402312
36.5,0.972560271622152,0.0316913538170813,0.972560271622152,1750.0,0.9370635938520672,0.0740948632259989,0.9370635938520672,31.0,0.9525045382903332,0.055802531684341,0.9525045382903332,3.1,0.9681984977657764,0.0377913166803296,0.9681984977657764,9.41,0.9753654635079234,0.0303647107092223,0.9753654635079234,55.0,0.7241902418068811,0.2110374652511194,0.7241902418068811,27.8,0.9435945385018728,0.0625915332352642,0.9435945385018728,72.9,0.950647766439576,0.0562049829847034,0.950647766439576
34.9,0.972560271622152,0.0316913538170813,0.972560271622152,1863.0,0.9366874437523788,0.0743531336448966,0.9366874437523788,32.0,0.952785427919676,0.0555844599963093,0.952785427919676,3.1,0.9686418246582946,0.0373955643529822,0.9686418246582946,9.7,0.975252575115974,0.0304802215499231,0.975252575115974,57.0,0.7241902418068811,0.2110374652511194,0.7241902418068811,28.2,0.9434950172507138,0.0626451685322554,0.9434950172507138,73.3,0.950647766439576,0.0562049829847034,0.950647766439576
40.8,0.9730525689827302,0.0312331758399679,0.9730525689827302,1910.0,0.9366874437523788,0.0743531336448966,0.9366874437523788,20.0,0.9532167835740346,0.0552029167435879,0.9532167835740346,0.8,0.9686418246582946,0.0373955643529822,0.9686418246582946,11.42,0.9749946061449648,0.0307676681773866,0.9749946061449648,58.0,0.7232799182329547,0.2111886810406044,0.7232799182329547,29.8,0.9429687275513868,0.0630614359817241,0.9429687275513868,72.2,0.951196534970218,0.055760354258122,0.951196534970218
