ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
20.0,2384.0,70.0,5.5,7.08,36.0,24.7,0.9037813297671532,0.123710411142005,0.9037813297671532,0.1214741906568606
62.4,1865.0,62.0,0.8,17.41,42.0,32.5,0.8993991667473136,0.1271898336957193,0.8993991667473136,0.1249509633766961
87.8,2151.0,21.0,2.3,28.45,48.0,36.1,0.8993991667473136,0.1271898336957193,0.8993991667473136,0.1249509633766961
60.0,1605.0,71.0,-3.1,13.95,51.0,31.0,0.901905537212857,0.1254477642626357,0.901905537212857,0.1296163242557686
16.9,1395.0,44.0,10.2,3.29,36.0,20.8,0.8993991667473136,0.127189833695719,0.8993991667473136,0.1213001093101582
100.0,1251.0,79.0,9.4,19.5,44.0,35.7,0.9037813297671532,0.123710411142005,0.9037813297671532,0.1232464803837666
95.7,1511.0,68.0,0.0,21.09,51.0,34.5,0.9105710216438092,0.1190192849517575,0.9105710216438092,0.1124332981410054
79.6,1718.0,65.0,2.3,20.28,54.0,33.7,0.9195573605962546,0.111003973623139,0.9195573605962546,0.0944262396639622
85.9,1847.0,66.0,-3.1,23.76,56.0,34.9,0.9248638837376496,0.1068100833942237,0.9248638837376496,0.0845815766472597
79.2,2077.0,62.0,-2.3,24.7,66.0,34.9,0.9273702542031932,0.1049438324139421,0.9273702542031932,0.0778856169401017
33.7,1859.0,30.0,6.2,9.34,66.0,27.8,0.9292460467574892,0.1031015392028487,0.9292460467574892,0.0759474987210389
62.7,1649.0,57.0,-4.7,15.16,60.0,31.8,0.9292460467574896,0.1031015392028487,0.9292460467574896,0.0777197884479449
19.6,1617.0,30.0,3.1,3.57,61.0,21.6,0.9306408733582844,0.1019737103384162,0.9306408733582844,0.0751892716877171
36.1,1698.0,20.0,0.0,9.1,62.0,27.8,0.9287650808039882,0.1038216726846674,0.9287650808039882,0.073860990825931
19.6,1155.0,48.0,0.8,3.71,43.0,19.6,0.9287650808039882,0.1038216726846674,0.9287650808039882,0.0772647366080053
63.9,1205.0,20.0,-2.3,10.58,35.0,29.0,0.9287650808039885,0.1038216726846674,0.9287650808039885,0.0725174328976145
32.9,848.0,37.0,3.1,3.57,16.0,19.6,0.9243829177841486,0.1075243858687733,0.9243829177841486,0.0755053627227058
44.7,807.0,36.0,-2.3,4.78,20.0,23.1,0.9211122986290574,0.1104499816863582,0.9211122986290574,0.0746214672054271
19.2,1142.0,23.0,-0.8,5.8,23.0,25.9,0.916348011264444,0.1157885201834584,0.916348011264444,0.0788314873617655
18.4,1100.0,33.0,-5.5,3.47,0.0,18.4,0.9129172806773448,0.1181085747392724,0.9129172806773448,0.0849164741029195
40.0,777.0,57.0,-2.3,4.67,6.0,20.8,0.9211122986290574,0.1104499816863579,0.9211122986290574,0.0746214672054272
50.6,1470.0,31.0,3.9,10.21,1.0,26.7,0.9054246099344216,0.1273348338535005,0.9054246099344216,0.1016487343205956
40.0,758.0,53.0,-1.6,4.3,6.0,20.8,0.908313104744739,0.1238913377402193,0.908313104744739,0.1005768020966091
73.3,1336.0,47.0,0.0,16.83,14.0,32.5,0.8977718277594907,0.1403726273157696,0.8977718277594907,0.0973918801606082
