ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
72.9,2166.0,34.0,-3.1,22.95,67.0,34.1,0.8738891211131424,0.14824799830068866,0.8738891211131424,0.19252050979721205
52.5,2293.0,19.0,3.1,17.96,65.0,32.5,0.8820841390648547,0.1412888145977302,0.8820841390648547,0.1886179794750399
90.2,1828.0,47.0,6.2,23.74,57.0,34.9,0.8791956442545374,0.1445524586083796,0.8791956442545374,0.19590955496834134
18.0,1490.0,31.0,3.9,3.8,18.0,20.8,0.8865999728629952,0.13999791420465355,0.8865999728629952,0.18071191863384237
92.2,2249.0,20.0,-2.3,31.18,37.0,36.9,0.8962781595499684,0.13219514545955696,0.8962781595499684,0.16192125526778145
59.2,2160.0,66.0,7.0,17.34,45.0,31.8,0.8981539521042644,0.13048599399117708,0.8981539521042644,0.16175542677562468
81.6,2360.0,52.0,3.1,21.61,53.0,32.5,0.8981539521042645,0.1304859939911771,0.8981539521042645,0.16175542677562466
63.9,2125.0,43.0,2.3,20.02,67.0,33.3,0.9119658482446041,0.1110170176197124,0.9119658482446041,0.15552647429438698
54.1,2222.0,50.0,-6.2,18.39,68.0,32.5,0.9119658482446041,0.1110170176197124,0.9119658482446041,0.15056926263147996
42.4,2266.0,19.0,0.0,8.44,65.0,25.9,0.9084467755230394,0.11293544517202796,0.9084467755230394,0.15631097887363246
19.6,1039.0,34.0,4.7,3.21,16.0,18.4,0.9054246099344214,0.11434762741998854,0.9054246099344214,0.1675418924355899
65.5,1048.0,46.0,-3.9,9.47,18.0,27.5,0.9073004024887177,0.11257848311879305,0.9073004024887177,0.16692301207751825
48.6,1708.0,51.0,-0.8,12.06,28.0,30.2,0.9073004024887177,0.11257848311879305,0.9073004024887177,0.16692301207751825
64.3,2594.0,29.0,-4.7,24.83,35.0,34.5,0.919717472028262,0.09372859214598976,0.919717472028262,0.17413035588268222
59.2,1851.0,64.0,-3.1,16.6,45.0,32.2,0.912446814198105,0.10099331401263598,0.912446814198105,0.18144475752837946
56.5,2306.0,21.0,-0.8,19.96,50.0,32.9,0.9095583193877876,0.10452860230629896,0.9095583193877876,0.19645746550718104
23.9,2368.0,18.0,6.2,9.32,45.0,28.6,0.9198511428065628,0.09582446118608018,0.9198511428065628,0.17945088941211057
18.4,2006.0,19.0,0.0,5.32,29.0,23.1,0.9198511428065628,0.09582446118608119,0.9198511428065628,0.16491708020603707
20.4,1035.0,21.0,6.2,3.07,19.0,18.4,0.9179753502522667,0.09765869627312772,0.9179753502522667,0.16703006991805158
29.0,847.0,56.0,0.0,3.67,9.0,19.6,0.9074340732670184,0.11464920746402288,0.9074340732670184,0.16703006991805155
36.1,787.0,36.0,0.8,4.01,0.0,20.4,0.9045455784567008,0.11811801535694194,0.9045455784567008,0.16244443297621147
42.0,783.0,35.0,-1.6,4.6,1.0,20.8,0.8971412498482433,0.12299168656098873,0.8971412498482433,0.1709752020224208
17.6,819.0,47.0,-1.6,4.09,12.0,23.9,0.8982527937129914,0.12229400173853806,0.8982527937129914,0.1729215730960292
22.0,1296.0,19.0,0.0,3.71,19.0,20.0,0.8963770011586953,0.12402050880833636,0.8963770011586953,0.1856464425415312
