ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
18.0,1623.0,42.0,7.0,4.52,47.0,24.7,0.9407011843900319,0.0779375339574088,0.9407011843900319,0.09988484490396922
49.8,1565.0,43.0,-0.8,11.09,45.0,29.4,0.9479718422201888,0.07022254385499074,0.9479718422201888,0.08566439486126143
67.8,1358.0,48.0,-1.6,13.03,15.0,30.2,0.9498476347744849,0.0682613829154417,0.9498476347744849,0.0841135411928803
59.6,1886.0,68.0,-4.7,17.28,29.0,31.4,0.9469591399641675,0.07206731469934516,0.9469591399641675,0.09050521680004582
53.3,1392.0,59.0,-3.1,12.74,34.0,30.6,0.9345420704246229,0.09184160569845054,0.9345420704246229,0.0947530279592384
71.0,1775.0,30.0,-3.9,16.52,32.0,23.9,0.9312714512695317,0.0948626852230123,0.9312714512695317,0.10534334216869018
83.9,1719.0,77.0,3.9,22.44,34.0,34.5,0.9360357386341455,0.08931119923414828,0.9360357386341455,0.09188146518660315
72.5,2137.0,85.0,1.6,17.89,40.0,32.9,0.9331472438238277,0.09299057151877295,0.9331472438238277,0.09545177880649888
100.0,2092.0,91.0,-6.2,33.59,47.0,39.2,0.9283829564592143,0.09850323611038418,0.9283829564592143,0.09903200273718386
87.5,1573.0,73.0,-8.6,20.43,48.0,34.1,0.9207301742842836,0.11216623993164762,0.9207301742842836,0.08431053330378997
93.3,1642.0,77.0,-7.8,23.3,54.0,35.3,0.9345420704246229,0.09184160569845021,0.9345420704246229,0.08748330687276712
40.0,2011.0,20.0,0.0,7.0,57.0,23.9,0.9207301742842836,0.1121662399316473,0.9207301742842836,0.0937122593540048
18.4,1503.0,29.0,9.4,3.87,41.0,20.4,0.933147243823828,0.09299057151877298,0.933147243823828,0.11150956654568116
39.6,816.0,40.0,2.3,4.34,5.0,20.8,0.9535003782743503,0.05847731662875797,0.9535003782743503,0.10857509331269982
38.4,841.0,31.0,0.0,4.17,8.0,21.2,0.9553761708286466,0.05648002039713215,0.9553761708286466,0.09466016446469794
19.6,1107.0,25.0,-1.6,2.09,7.0,17.6,0.9429591012891018,0.07665183561703603,0.9429591012891018,0.12505793660541792
