ENGINE_COOLANT_TEMP,ENGINE_COOLANT_TEMP_entropy,ENGINE_COOLANT_TEMP_complexity,ENGINE_COOLANT_TEMP_fisher,ENGINE_LOAD,ENGINE_LOAD_entropy,ENGINE_LOAD_complexity,ENGINE_LOAD_fisher,ENGINE_RPM,ENGINE_RPM_entropy,ENGINE_RPM_complexity,ENGINE_RPM_fisher,INTAKE_MANIFOLD_PRESSURE,INTAKE_MANIFOLD_PRESSURE_entropy,INTAKE_MANIFOLD_PRESSURE_complexity,INTAKE_MANIFOLD_PRESSURE_fisher,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 1_entropy,Short Term Fuel Trim Bank 1_complexity,Short Term Fuel Trim Bank 1_fisher,MAF,MAF_entropy,MAF_complexity,MAF_fisher,SPEED,SPEED_entropy,SPEED_complexity,SPEED_fisher,THROTTLE_POS,THROTTLE_POS_entropy,THROTTLE_POS_complexity,THROTTLE_POS_fisher,TIMING_ADVANCE,TIMING_ADVANCE_entropy,TIMING_ADVANCE_complexity,TIMING_ADVANCE_fisher
82.0,0.3334465942801218,0.2799272114090488,0.3334465942801218,37.3,0.7541694791005585,0.3692248366307884,0.7541694791005585,829.0,0.7396662594617648,0.36901616513245195,0.7396662594617648,40.0,0.7551787184561176,0.36127742872936525,0.7551787184561176,-6.2,0.7612919923357861,0.361296734564054,0.7612919923357861,4.26,0.7425604072470929,0.37290231631212356,0.7425604072470929,8.0,0.5328397315446024,0.36988190290000794,0.5328397315446024,20.4,0.6782855576451285,0.36871327284772454,0.6782855576451285,51.4,0.761291992335786,0.36515006000266936,0.761291992335786
82.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,42.7,0.7593402987653429,0.3652874988051931,0.7593402987653429,1582.0,0.739666259461765,0.36901616513245206,0.739666259461765,53.0,0.7551787184561176,0.36127742872936525,0.7551787184561176,0.8,0.7612919923357861,0.361296734564054,0.7612919923357861,10.12,0.7425604072470929,0.37290231631212356,0.7425604072470929,17.0,0.5296206054502617,0.36872965599775287,0.5296206054502617,28.6,0.6782855576451285,0.36871327284772454,0.6782855576451285,71.8,0.7664628120005704,0.36110068413153423,0.7664628120005704
82.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,18.8,0.7541694791005585,0.3692248366307874,0.7541694791005585,1671.0,0.74805620522089,0.3653003528047574,0.74805620522089,84.0,0.7623012316913452,0.35711301087296426,0.7623012316913452,6.2,0.7612919923357861,0.361296734564054,0.7612919923357861,17.54,0.7425604072470929,0.37290231631212356,0.7425604072470929,33.67127381397086,0.5296206054502617,0.36872965599775287,0.5296206054502617,32.2,0.6731147379803444,0.37163673418208865,0.6731147379803444,62.7,0.7664628120005704,0.3611006841315348,0.7664628120005704
82.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,100.0,0.7541694791005585,0.3692248366307874,0.7541694791005585,3021.0,0.7448370791265492,0.3652505596928471,0.7448370791265492,64.0,0.7645111184301272,0.35739244080046206,0.7645111184301272,0.8,0.7612919923357861,0.361296734564054,0.7612919923357861,50.22,0.7354378940118653,0.37663049855612873,0.7354378940118653,43.0,0.5296206054502617,0.36872965599775287,0.5296206054502617,42.0,0.6596777100767566,0.37199526019194346,0.6596777100767566,65.5,0.761291992335786,0.3651500600026699,0.761291992335786
82.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,100.0,0.7541694791005585,0.3692248366307874,0.7541694791005585,2302.0,0.736447133367424,0.368915222850965,0.736447133367424,76.0,0.7645111184301271,0.357392440800462,0.7645111184301271,-5.5,0.7696819380949113,0.35714852033639727,0.7696819380949113,35.65,0.7354378940118653,0.3766304985561302,0.7354378940118653,55.0,0.5148115352723661,0.3645598353154757,0.5148115352723661,38.4,0.6545068904119724,0.37465518818594773,0.6545068904119724,64.7,0.7612919923357861,0.3651500600026695,0.7612919923357861
83.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,62.4,0.7541694791005585,0.3692248366307889,0.7541694791005585,2739.0,0.736447133367424,0.368915222850965,0.736447133367424,68.0,0.7593402987653428,0.3614440519815635,0.7593402987653428,-1.6,0.7748527577596955,0.3529468796931968,0.7748527577596955,26.1,0.730267074347081,0.380203613624662,0.730267074347081,60.0,0.5049867090767931,0.35933143117448674,0.5049867090767931,34.9,0.6545068904119722,0.3746551881859477,0.6545068904119722,72.5,0.7664628120005704,0.36110068413153423,0.7664628120005704
83.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,18.4,0.7593402987653428,0.36528749880519307,0.7593402987653428,2404.0,0.7435696466026516,0.3650973993786763,0.7435696466026516,78.0,0.7541694791005586,0.36540756222346304,0.7541694791005586,5.5,0.7748527577596955,0.3529468796931963,0.7748527577596955,6.41,0.7354378940118653,0.3766304985561292,0.7354378940118653,63.0,0.48981337898390725,0.3543911433984353,0.48981337898390725,30.6,0.6545068904119722,0.3746551881859477,0.6545068904119722,63.5,0.761291992335786,0.3651500600026699,0.761291992335786
83.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,100.0,0.7664628120005704,0.3611006841315348,0.7664628120005704,2133.0,0.7435696466026516,0.3650973993786758,0.7435696466026516,73.0,0.747046965865331,0.3693768961018597,0.747046965865331,-6.2,0.7819752709949231,0.3484239508829175,0.7819752709949231,32.09,0.730267074347081,0.380203613624662,0.730267074347081,66.0,0.47447044691705237,0.3489692563462501,0.47447044691705237,37.6,0.649336070747188,0.37722701524075114,0.649336070747188,64.3,0.7612919923357861,0.3651500600026695,0.7612919923357861
83.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,52.9,0.7716336316653547,0.3569632073211981,0.7716336316653547,2214.0,0.7383988269378675,0.36884895050805905,0.7383988269378675,59.0,0.747046965865331,0.3693768961018597,0.747046965865331,-4.7,0.7871460906597073,0.3440221712549742,0.7871460906597073,6.94,0.733486200441422,0.3803805937990388,0.733486200441422,64.0,0.47251875334660903,0.3482018506627617,0.47251875334660903,24.3,0.649336070747188,0.37722701524075114,0.649336070747188,68.2,0.761291992335786,0.36515006000266936,0.761291992335786
84.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,72.9,0.7716336316653547,0.3569632073211981,0.7716336316653547,2166.0,0.7332280072730833,0.37251240069823927,0.7332280072730833,34.0,0.747046965865331,0.3693768961018597,0.747046965865331,-3.1,0.7871460906597074,0.3440221712549742,0.7871460906597074,22.95,0.741876146200547,0.3768953183187476,0.741876146200547,67.0,0.4653962401113813,0.3475759420605573,0.4653962401113813,34.1,0.649336070747188,0.37722701524075114,0.649336070747188,68.6,0.761291992335786,0.36515006000266936,0.761291992335786
84.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,52.5,0.7664628120005705,0.36110068413153484,0.7664628120005705,2293.0,0.7280571876082991,0.3760877499492194,0.7280571876082991,19.0,0.747046965865331,0.3693768961018597,0.747046965865331,3.1,0.7923169103244916,0.33953229068782886,0.7923169103244916,17.96,0.747046965865331,0.37315811947789507,0.747046965865331,65.0,0.4761042564465199,0.350185381610103,0.4761042564465199,32.5,0.6564585839824157,0.3748442790634625,0.6564585839824157,72.2,0.7541694791005585,0.3692248366307874,0.7541694791005585
84.0,0.3449904645360594,0.28839906274395266,0.3449904645360594,19.2,0.7664628120005704,0.3611006841315348,0.7664628120005704,2094.0,0.7332280072730833,0.37251240069823927,0.7332280072730833,19.0,0.7554369116244561,0.36554582052284634,0.7554369116244561,3.9,0.7942686038949349,0.33924571061814474,0.7942686038949349,5.99,0.7522177855301152,0.36933281969784154,0.7522177855301152,60.0,0.48618770260774985,0.35217922073278535,0.48618770260774985,23.9,0.6616294036471999,0.37216041396311855,0.6616294036471999,63.5,0.7541694791005585,0.3692248366307874,0.7541694791005585
83.0,0.36158857429207386,0.29791839304849627,0.36158857429207386,19.2,0.7716336316653547,0.3569632073211975,0.7716336316653547,1910.0,0.7332280072730833,0.37251240069823927,0.7332280072730833,69.0,0.7554369116244561,0.3655458205228453,0.7554369116244561,3.1,0.7890977842301506,0.3437595282916273,0.7890977842301506,5.13,0.7573886051948995,0.365419418978585,0.7573886051948995,54.0,0.4913585222725341,0.3517388936990137,0.4913585222725341,23.1,0.6668002233119843,0.3693884479235749,0.6668002233119843,63.5,0.7593402987653427,0.3652874988051925,0.7593402987653427
83.0,0.3696763961889126,0.30403572900191045,0.3696763961889126,90.2,0.7664628120005704,0.3611006841315348,0.7664628120005704,1828.0,0.7383988269378673,0.368848950508059,0.7383988269378673,47.0,0.7554369116244561,0.36554582052284634,0.7554369116244561,6.2,0.7890977842301506,0.3437595282916273,0.7890977842301506,23.74,0.7625594248596836,0.36141791732012746,0.7625594248596836,57.0,0.494577648366875,0.35303254400006484,0.494577648366875,34.9,0.6668002233119843,0.3693884479235749,0.6668002233119843,65.5,0.7593402987653427,0.3652874988051925,0.7593402987653427
83.0,0.37763986311961867,0.31002964322966464,0.37763986311961867,62.0,0.7664628120005704,0.3611006841315348,0.7664628120005704,1893.0,0.7332280072730833,0.37251240069823927,0.7332280072730833,49.0,0.750266091959672,0.3694352841357631,0.750266091959672,0.8,0.7839269645653665,0.348185245025909,0.7839269645653665,8.95,0.7625594248596836,0.36141791732012746,0.7625594248596836,57.0,0.494577648366875,0.35303254400006484,0.494577648366875,24.7,0.6668002233119843,0.3693884479235749,0.6668002233119843,68.6,0.7522177855301153,0.3693328196978416,0.7522177855301153
83.0,0.38869381140374515,0.31774122988281345,0.38869381140374515,62.0,0.7612919923357864,0.36515006000266953,0.7612919923357864,1903.0,0.7280571876082992,0.3760877499492194,0.7280571876082992,61.0,0.747046965865331,0.3693768961018597,0.747046965865331,1.6,0.7787561449005822,0.35252286082098855,0.7787561449005822,17.38,0.7677302445244679,0.35732831472246585,0.7677302445244679,60.0,0.5047497607689457,0.35855195234960496,0.5047497607689457,32.5,0.6668002233119843,0.3693884479235749,0.6668002233119843,69.0,0.7438278397709902,0.37307027988965397,0.7438278397709902
83.0,0.38869381140374515,0.31774122988281345,0.38869381140374515,74.9,0.7664628120005704,0.3611006841315348,0.7664628120005704,2033.0,0.7228863679435149,0.37957499826099655,0.7228863679435149,61.0,0.7541694791005585,0.365407562223463,0.7541694791005585,2.3,0.7787561449005823,0.3525228608209886,0.7787561449005823,22.33,0.7677302445244679,0.35732831472246585,0.7677302445244679,64.0,0.5047497607689457,0.35855195234960496,0.5047497607689457,34.1,0.6719710429767686,0.3665283809448283,0.6719710429767686,67.8,0.738657020106206,0.37676948731394744,0.738657020106206
83.0,0.38869381140374515,0.31774122988281345,0.38869381140374515,18.4,0.7684145055710138,0.36093378959354067,0.7684145055710138,2125.0,0.7177155482787306,0.3829741456335711,0.7177155482787306,44.0,0.7541694791005586,0.36540756222346304,0.7541694791005586,3.1,0.7735853252357979,0.35677237567686615,0.7735853252357979,11.66,0.7677302445244679,0.35732831472246585,0.7677302445244679,64.0,0.5047497607689457,0.35855195234960496,0.5047497607689457,31.4,0.680237251215572,0.3688124825622667,0.680237251215572,76.5,0.7406087136766494,0.37671791832179263,0.7406087136766494
