AltitudeVariation,AltitudeVariation_entropy,AltitudeVariation_complexity,AltitudeVariation_fisher,AltitudeVariation_shannon,VehicleSpeedInstantaneous,VehicleSpeedInstantaneous_entropy,VehicleSpeedInstantaneous_complexity,VehicleSpeedInstantaneous_fisher,VehicleSpeedInstantaneous_shannon,VehicleSpeedAverage,VehicleSpeedAverage_entropy,VehicleSpeedAverage_complexity,VehicleSpeedAverage_fisher,VehicleSpeedAverage_shannon,VehicleSpeedVariance,VehicleSpeedVariance_entropy,VehicleSpeedVariance_complexity,VehicleSpeedVariance_fisher,VehicleSpeedVariance_shannon,VehicleSpeedVariation,VehicleSpeedVariation_entropy,VehicleSpeedVariation_complexity,VehicleSpeedVariation_fisher,VehicleSpeedVariation_shannon,LongitudinalAcceleration,LongitudinalAcceleration_entropy,LongitudinalAcceleration_complexity,LongitudinalAcceleration_fisher,LongitudinalAcceleration_shannon,EngineLoad,EngineLoad_entropy,EngineLoad_complexity,EngineLoad_fisher,EngineLoad_shannon,EngineRPM,EngineRPM_entropy,EngineRPM_complexity,EngineRPM_fisher,EngineRPM_shannon,MassAirFlow,MassAirFlow_entropy,MassAirFlow_complexity,MassAirFlow_fisher,MassAirFlow_shannon,VerticalAcceleration,VerticalAcceleration_entropy,VerticalAcceleration_complexity,VerticalAcceleration_fisher,VerticalAcceleration_shannon,FuelConsumptionAverage,FuelConsumptionAverage_entropy,FuelConsumptionAverage_complexity,FuelConsumptionAverage_fisher,FuelConsumptionAverage_shannon
-1.5999756,0.830085954663845,0.18013453402844057,0.830085954663845,0.1941006585434254,6.079859734,0.5240814861799431,0.2728376009767039,0.5240814861799431,0.2517374448538294,56.96303164,0.147033481194217,0.12662544657571626,0.147033481194217,0.3618687853313733,209.0015875,0.425334631883683,0.2832197256879932,0.425334631883683,0.483977517035894,-3.828059196,0.8944023669956721,0.13155232602893852,0.8944023669956721,0.09468316675915861,2.0699,0.794817357112843,0.20111193211376893,0.794817357112843,0.2307214398949476,29.01960754,0.870182864648385,0.16781993240656506,0.870182864648385,0.113441784829964,866.0,0.6263281679126177,0.2670378118247351,0.6263281679126177,0.21860509465789824,5.869999886,0.9188543817299871,0.11396931220616197,0.9188543817299871,0.09793792176632132,-1.0156,0.8379220092603766,0.17208931686246182,0.8379220092603766,0.19821421767375225,13.20899677,0.4296983537352486,0.2602441150970261,0.4296983537352486,0.4962615988466161
-0.2000122,0.8192401759478075,0.18681517375960635,0.8192401759478075,0.20155949469465484,7.881299973,0.5240814861799431,0.2728376009767039,0.5240814861799431,0.2517374448538294,39.11001161,0.1346164116546725,0.11891636348637247,0.1346164116546725,0.3747117819553887,833.2108981,0.42723266006037414,0.2842849049669724,0.42723266006037414,0.4755846842944808,7.881299973,0.8883208756442481,0.13472481514305193,0.8883208756442481,0.09343065394460219,0.3711,0.7995816444774564,0.19716067801416773,0.7995816444774564,0.2308119600405904,40.39215851,0.8598900412296099,0.17507742543377172,0.8598900412296099,0.1172826067186477,1728.0,0.6263281679126177,0.2670378118247351,0.6263281679126177,0.21559504421484893,13.31000042,0.9126952677645784,0.12034949042070296,0.9126952677645784,0.1127501156163409,-0.2031,0.8468423937788181,0.1678038749491306,0.8468423937788181,0.18727826146297671,13.29880238,0.4191570767500003,0.26222602855826693,0.4191570767500003,0.4994574366501988
-0.2999878,0.8218909367121325,0.18613579620064294,0.8218909367121325,0.2026327678703354,11.93453979,0.5330678251323886,0.2721885123550265,0.5330678251323886,0.2350887311010961,38.16050269,0.1479752707542743,0.12990488660899932,0.1479752707542743,0.38057656509885507,829.7645665,0.4508435206239555,0.2871645136958806,0.4508435206239555,0.4604507663545082,4.053239817,0.8962781595499684,0.12984655402230885,0.8962781595499684,0.0828228107792686,0.2695,0.785769748337117,0.21225879277509718,0.785769748337117,0.2203811977621335,5.490196228,0.8580142486753136,0.17659257541760567,0.8580142486753136,0.1270299729865232,1299.0,0.6339809500875485,0.26033367135563007,0.6339809500875485,0.21860509465789824,15.78999996,0.9115837238998302,0.12106560585749289,0.9115837238998302,0.10880787645243888,-0.1563,0.8424602307589785,0.17075654715557181,0.8424602307589785,0.19228297016854418,13.38045311,0.4191570767500003,0.26222602855826693,0.4191570767500003,0.5216107339035064
-0.4000244,0.8239268406984365,0.18524724675513904,0.8239268406984365,0.2045396311810015,17.11367989,0.5159829662025731,0.27015256540716026,0.5159829662025731,0.23818542802763473,36.38908687,0.16011217231860153,0.13983434135965975,0.16011217231860153,0.38685105714415474,812.0152863,0.47424200898457974,0.2885930619881734,0.47424200898457974,0.44536365651349946,2.92734051,0.9036824881584261,0.12503610857938724,0.9036824881584261,0.08075427861749096,0.0781,0.785769748337117,0.21225879277509718,0.785769748337117,0.2203811977621335,36.47058868,0.8704313182148582,0.1598502895382822,0.8704313182148582,0.1300400234295725,1438.0,0.6339809500875486,0.2603336713556301,0.6339809500875486,0.22161514510094754,14.76000023,0.9068194365352167,0.126281238708465,0.9068194365352167,0.10818899609436725,-0.0117,0.8400527019021623,0.1716437116505937,0.8400527019021623,0.18852693804670176,13.48105335,0.43087283771770873,0.267286579345486,0.43087283771770873,0.5111783921785727
-0.6000366,0.8049257394042982,0.20269477040737635,0.8049257394042982,0.2194961781146444,20.04101944,0.5016192941855931,0.26702250286511797,0.5016192941855931,0.24025027751330286,35.57468594,0.17121204644084637,0.1488736059616843,0.17121204644084637,0.3934393940115772,797.9504539,0.47424200898457974,0.2885930619881734,0.47424200898457974,0.44536365651349946,2.92733955,0.9065709829687433,0.1215934317018939,0.9065709829687433,0.088524837495332,0.1211,0.7940023380742761,0.2101410445440217,0.7940023380742761,0.21401508017898674,0.0,0.8828483877544027,0.14255741801041075,0.8828483877544027,0.12854591407562962,1317.0,0.6575918106511299,0.2513135924692554,0.6575918106511299,0.21525315698553626,13.15999985,0.9068194365352167,0.126281238708465,0.9068194365352167,0.10818899609436725,-0.0273,0.8400527019021623,0.1716437116505937,0.8400527019021623,0.18852693804670176,13.52362728,0.44132783893676064,0.2718763658451441,0.44132783893676064,0.5011771139707848
-0.9000244,0.7978811474401529,0.20492048801021326,0.7978811474401529,0.23222691742862775,16.21295929,0.5188714610128905,0.26946574812630003,0.5188714610128905,0.23410344536059896,33.84079999,0.18140558466977255,0.15714176197101784,0.18140558466977255,0.4002792679798731,767.526148,0.47424200898457974,0.2885930619881734,0.47424200898457974,0.44536365651349946,-2.25180054,0.9065709829687434,0.12159343170189359,0.9065709829687434,0.0931442233755915,0.2852,0.8066309210523255,0.20397711648955702,0.8066309210523255,0.19435613649706635,21.56862831,0.8876126751190161,0.13760223071937935,0.8876126751190161,0.11934089125353009,1134.0,0.6809902990117541,0.24090620662747955,0.6809902990117541,0.20893797696908892,10.02000046,0.9054246099344214,0.12733483385349986,0.9054246099344214,0.11177121999907699,-0.0781,0.8400527019021623,0.1716437116505937,0.8400527019021623,0.18852693804670176,13.6030674,0.45070511821251535,0.2760400061814103,0.45070511821251535,0.4915120703071401
-0.7000122,0.8022633104599926,0.20240726876000809,0.8022633104599926,0.23434961318044858,5.629499912,0.535956319942706,0.2713918458825588,0.535956319942706,0.21904723065623127,30.02024618,0.19078981278068877,0.1647269856403419,0.19078981278068877,0.40732754415569705,726.2332255,0.47424200898457974,0.2885930619881734,0.47424200898457974,0.44536365651349946,-1.351079941,0.8989182007938125,0.13469907427014446,0.8989182007938125,0.07072462920840958,0.3789,0.8091866731149493,0.20363304861765763,0.8091866731149493,0.1857099887760476,31.76470566,0.8905011699293336,0.13427579154480496,0.8905011699293336,0.12235094169657937,839.0,0.687528794706064,0.24139822566661584,0.687528794706064,0.2156839764140698,4.96999979,0.8981539521042645,0.13419259389082938,0.8981539521042645,0.12992508921388113,-0.1133,0.8400527019021623,0.1716437116505937,0.8400527019021623,0.18852693804670176,13.73593998,0.4591333317231065,0.2798132852160927,0.4591333317231065,0.48212207055127904
-0.6000366,0.8036581370607877,0.20165159418077838,0.8036581370607877,0.23626279429811883,6.305039883,0.5528686409260719,0.2728072304550124,0.5528686409260719,0.21599251285611842,29.11577315,0.1994393878481497,0.17169693890989868,0.1994393878481497,0.41455295451460095,719.1117034,0.47424200898457974,0.2885930619881734,0.47424200898457974,0.44536365651349946,0.675539971,0.8941539134291989,0.13975185033854062,0.8941539134291989,0.07992965203050914,0.3711,0.8162312650790945,0.20131417162602486,0.8162312650790945,0.17050834134845702,26.27450943,0.8923769624836296,0.13258559060528427,0.8923769624836296,0.1116221633503602,953.0,0.7028235496082291,0.23792114700062103,0.7028235496082291,0.2064611759210247,8.859999657,0.9006603225698079,0.1324734521699277,0.9006603225698079,0.1333425054068267,-0.082,0.8514010210213696,0.16437380876533744,0.8514010210213696,0.1754644354758591,13.81352615,0.46670731186343056,0.2832251617177635,0.46670731186343056,0.4729651879555259
-0.2999878,0.7851595761698192,0.21801205882830488,0.7851595761698192,0.23897979999583482,8.331659317,0.5772556384961132,0.2683209746288422,0.5772556384961132,0.20997177216292218,27.49072423,0.20741332384316796,0.1781049595935093,0.20741332384316796,0.4219320285777859,704.8847832,0.47424200898457974,0.2885930619881734,0.47424200898457974,0.44536365651349946,0.225179672,0.8836126364439506,0.15574078003975864,0.8836126364439506,0.06984940021253837,0.2617,0.8275795841983019,0.1947927399840506,0.8275795841983019,0.1587498888101968,23.92156982,0.8979054985377911,0.1295467423966288,0.8979054985377911,0.11053504326692623,1246.0,0.7255309972943403,0.22511163366484624,0.7255309972943403,0.20030469175285748,8.079999924,0.9068194365352167,0.12628123870846433,0.9068194365352167,0.1328536625120825,-0.0078,0.8514010210213696,0.16437380876533683,0.8514010210213696,0.16648204740049954,13.93117332,0.4593029832549729,0.2817219279605399,0.4593029832549729,0.47711785155899916
-0.2000122,0.766158474875681,0.23340965643645126,0.766158474875681,0.22912332608551825,9.90791893,0.5772556384961132,0.2683209746288422,0.5772556384961132,0.20997177216292218,26.72886526,0.21475924691732615,0.18399397785243074,0.21475924691732615,0.42944666422035516,696.1238286,0.47424200898457974,0.2885930619881734,0.47424200898457974,0.44536365651349946,1.576259613,0.8912654186188815,0.143077860293077,0.8912654186188815,0.07516914359571741,0.2305,0.8162312650790945,0.20131417162602486,0.8162312650790945,0.16749829090540772,32.15686417,0.904695190414447,0.12494209919000877,0.904695190414447,0.11105865641010719,1522.0,0.7255309972943403,0.22511163366484624,0.7255309972943403,0.20030469175285748,11.39000034,0.9086952290895128,0.12453333121752182,0.9086952290895128,0.13198934938379306,-0.0039,0.8411081976025945,0.17142729669523601,0.8411081976025945,0.1793052573645428,13.99854088,0.4484572045389354,0.2800148755664076,0.4484572045389354,0.4831819369943146
